標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:20.3,EPS:--,營收:--,0.1x,外資賣超,偏弱,— 目前無買入信號,$44.7 ~ $45.6,$43.6
0056.TW,元大高股息,,,偏多,,↓,MA20下方,nan%,PE:21.0,EPS:--,營收:--,0.9x,外資賣超,中性★,— 目前無買入信號,$50.6 ~ $51.6,$49.3
2330.TW,台積電,2440.0,1.04,多空分歧,45.1,↓,MA20上方,94%,PE:33.1,EPS:73.66,營收:35%,1.0x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,"$2,313.4 ~ $2,359.9","$2,255.2"
2308.TW,台達電,1890.0,0.53,多空分歧,37.8,↓,MA20下方,68%,PE:81.3,EPS:23.25,營收:34%,0.7x,外資買超,中性★,🎯 一條件滿足 — 待確認,"$1,749.6 ~ $1,784.8","$1,736.3"
00631L.TW,元大台灣50正2,36.86000061035156,0.22,多空分歧,36.2,↓,空頭排列,84%,PE:--,EPS:--,營收:--,1.4x,外資買超,中性★,🎯 一條件滿足 — 待確認,$34.9 ~ $35.6,$34.0
00713.TW,元大高息低波,60.54999923706055,0.0,偏多,51.2,↓,MA20上方,94%,PE:18.4,EPS:--,營收:--,0.6x,外資賣超,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$58.9 ~ $60.1,$57.4
00878.TW,國泰永續高股息,33.130001068115234,-0.18,偏多,38.2,↓,空頭排列,90%,PE:23.1,EPS:--,營收:--,0.5x,外資賣超,中性★,🎯 一條件滿足 — 待確認,$32.3 ~ $33.0,$31.6
2317.TW,鴻海,236.5,-0.42,多空分歧,27.3,↓,空頭排列,54%,PE:17.6,EPS:13.40,營收:29%,0.5x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$225.8 ~ $230.3,$227.0
2530.TW,華建,19.600000381469727,-0.76,多空分歧,55.8,↑,MA20上方,14%,PE:9.8,EPS:1.99,營收:16%,0.5x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$18.3 ~ $18.6,$17.8
00919.TW,群益台灣精選高息,29.709999084472656,-0.87,多空分歧,34.8,↓,MA20下方,89%,PE:15.7,EPS:--,營收:--,0.7x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$28.8 ~ $29.4,$28.3
3293.TWO,鈊象電子,729.0,-2.02,多空分歧,51.3,↓,MA20下方,53%,PE:19.3,EPS:37.87,營收:17%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$702.0 ~ $716.1,$688.9
6111.TWO,6111擎亞,40.849998474121094,-2.62,三線空頭,34.1,↓,空頭排列,7%,PE:--,EPS:-4.63,營收:128%,0.6x,,迴避,🎯 一條件滿足 — 待確認,$40.3 ~ $41.1,$39.3
TSM,台積電ADR,421.5799865722656,-2.89,多空分歧,37.8,↓,MA20下方,78%,PE:36.7,EPS:11.50,營收:35%,1.1x,,中性★,🎯 一條件滿足 — 待確認,$409.6 ~ $417.8,$404.7
NVDA,NVIDIA,203.52999877929688,-3.52,偏多,45.4,↑,MA20上方,56%,PE:31.1,EPS:6.54,營收:85%,0.7x,,稍強★★,🎯 一條件滿足 — 待確認,$188.8 ~ $192.6,$184.1
AMD,AMD,534.3900146484375,-4.21,三線多頭,47.3,↓,MA20上方,89%,PE:177.5,EPS:3.01,營收:38%,0.5x,,稍強★★,🎯 一條件滿足 — 待確認,$491.5 ~ $501.4,$479.2
MU,美光,937.0,-4.32,多空分歧,32.3,↓,空頭排列,72%,PE:21.2,EPS:44.26,營收:346%,1.0x,,中性★,🎯 一條件滿足 — 待確認,$870.0 ~ $887.5,$864.9
00910.TW,第一金太空衛星,58.79999923706055,-4.39,多空分歧,41.7,↓,空頭排列,48%,PE:28.0,EPS:--,營收:--,0.8x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$56.5 ~ $57.6,$55.6
GEV,GE Vernova,1042.5999755859375,-4.49,多空分歧,42.5,↓,MA20下方,77%,PE:30.5,EPS:34.17,營收:16%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$902.5 ~ $920.6,$879.8
3017.TW,奇鋐,2225.0,-5.32,多空分歧,43.2,↓,MA20下方,64%,PE:39.2,EPS:56.74,營收:110%,0.4x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,"$2,135.2 ~ $2,178.1","$2,143.7"
LRCX,科林研發,329.9200134277344,-5.83,多空分歧,36.9,↓,空頭排列,69%,PE:62.4,EPS:5.29,營收:24%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$311.5 ~ $317.8,$303.7
