標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,三線多頭,,↑,MA20下方,nan%,PE:20.0,EPS:39.63,營收:17%,0.6x,,稍強★★,— 目前無買入信號,$678.6 ~ $692.2,$661.5
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:19.8,EPS:--,營收:--,0.1x,外資賣超,偏弱,— 目前無買入信號,$41.4 ~ $42.2,$40.3
0056.TW,元大高股息,,,偏多,,↑,MA20下方,nan%,PE:20.5,EPS:--,營收:--,1.2x,外資買超,稍強★★,— 目前無買入信號,$45.6 ~ $46.5,$44.5
6111.TWO,6111擎亞,,,三線空頭,,↓,MA20下方,nan%,PE:--,EPS:-4.26,營收:128%,0.4x,,迴避,— 目前無買入信號,$35.6 ~ $36.3,$34.7
00878.TW,國泰永續高股息,33.400001525878906,1.8,三線多頭,61.3,↑,MA20上方,92%,PE:18.8,EPS:--,營收:--,0.6x,外資賣超,稍強★★,— 目前無買入信號,$30.1 ~ $30.8,$29.4
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:46.2,EPS:59.88,營收:110%,0.6x,外資賣超,稍強★★,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00919.TW,群益台灣精選高息,30.030000686645508,0.98,三線多頭,61.1,↑,多頭排列,92%,PE:15.0,EPS:--,營收:--,0.5x,外資買超,強勢★★★,— 目前無買入信號,$27.8 ~ $28.4,$27.1
2330.TW,台積電,,,偏多,,↑,MA20下方,nan%,PE:32.3,EPS:73.71,營收:36%,0.6x,外資買超,強勢★★★,— 目前無買入信號,"$2,169.1 ~ $2,212.7","$2,114.6"
2317.TW,鴻海,,,三線多頭,,↑,MA20下方,nan%,PE:19.0,EPS:13.94,營收:29%,0.5x,外資買超,強勢★★★,— 目前無買入信號,$225.4 ~ $229.9,$219.7
2530.TW,華建,,,偏空,,↓,MA20下方,nan%,PE:10.1,EPS:1.93,營收:16%,0.6x,外資買超,偏弱,— 目前無買入信號,$18.9 ~ $19.2,$18.4
00910.TW,第一金太空衛星,64.05000305175781,4.91,多空分歧,72.5,↑,多頭排列,56%,PE:25.8,EPS:--,營收:--,0.9x,外資買超,中性★,— 目前無買入信號,$50.1 ~ $51.1,$50.0
00631L.TW,元大台灣50正2,34.70000076293945,3.03,偏多,51.0,↑,MA20上方,77%,PE:--,EPS:--,營收:--,1.2x,外資買超,稍強★★,— 目前無買入信號,$27.2 ~ $27.8,$26.5
TSM,台積電ADR,422.30499267578125,0.54,三線多頭,48.9,↑,MA20上方,78%,PE:37.1,EPS:11.38,營收:36%,0.5x,,強勢★★★,— 目前無買入信號,$370.9 ~ $378.3,$361.5
GEV,GE Vernova,993.7050170898438,0.34,多空分歧,39.9,↑,MA20下方,70%,PE:28.5,EPS:34.86,營收:22%,0.3x,,中性★,🎯 一條件滿足 — 待確認,$893.2 ~ $911.1,$870.7
MU,美光,879.77001953125,0.25,多空分歧,42.0,↑,MA20下方,67%,PE:19.9,EPS:44.23,營收:346%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$734.2 ~ $748.9,$715.7
00713.TW,元大高息低波,61.25,-0.08,偏多,56.0,↓,多頭排列,97%,PE:18.4,EPS:--,營收:--,0.4x,外資賣超,中性★,🎯 一條件滿足 — 待確認,$59.0 ~ $60.2,$57.5
LRCX,科林研發,308.1600036621094,-1.02,多空分歧,45.8,↑,MA20上方,62%,PE:53.5,EPS:5.76,營收:30%,0.3x,,中性★,🎯 一條件滿足 — 待確認,$249.2 ~ $254.3,$243.0
AMD,AMD,475.5000915527344,-1.63,多空分歧,38.3,↓,MA20下方,75%,PE:121.3,EPS:3.92,營收:50%,0.3x,,中性★,🎯 一條件滿足 — 待確認,$421.9 ~ $430.4,$411.3
NVDA,NVIDIA,218.94979858398438,-2.24,三線多頭,58.7,↑,多頭排列,76%,PE:33.5,EPS:6.54,營收:85%,0.4x,,強勢★★★,— 目前無買入信號,$188.7 ~ $192.5,$184.3
2308.TW,台達電,,,多空分歧,,↑,MA20下方,nan%,PE:67.1,EPS:27.06,營收:48%,0.8x,外資買超,稍強★★,— 目前無買入信號,"$1,417.9 ~ $1,446.4","$1,382.2"
