標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.7,EPS:37.85,營收:17%,1.0x,,偏弱,— 目前無買入信號,$736.3 ~ $751.1,$717.8
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:21.1,EPS:--,營收:--,0.5x,外資賣超,偏弱,— 目前無買入信號,$45.7 ~ $46.6,$44.5
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:20.6,EPS:--,營收:--,1.3x,外資賣超,偏弱,— 目前無買入信號,$47.4 ~ $48.4,$46.2
6111.TWO,6111擎亞,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,0.9x,,中性★,— 目前無買入信號,$41.1 ~ $41.9,$40.1
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:22.8,EPS:--,營收:--,1.1x,外資賣超,偏弱,— 目前無買入信號,$29.9 ~ $30.5,$29.1
3017.TW,奇鋐,,,多空分歧,,↓,MA20下方,nan%,PE:37.7,EPS:59.87,營收:110%,1.1x,外資賣超,偏弱,— 目前無買入信號,"$2,248.7 ~ $2,293.9","$2,192.2"
00713.TW,元大高息低波,,,偏多,,↑,MA20下方,nan%,PE:18.2,EPS:--,營收:--,0.6x,外資賣超,中性★,— 目前無買入信號,$54.9 ~ $56.0,$53.5
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:15.6,EPS:--,營收:--,1.7x,外資賣超,偏弱,— 目前無買入信號,$27.6 ~ $28.1,$26.9
NVDA,NVIDIA,195.19000244140625,-0.28,多空分歧,40.7,↓,空頭排列,52%,PE:29.8,EPS:6.54,營收:85%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$190.3 ~ $194.1,$185.5
2330.TW,台積電,,,多空分歧,,↑,MA20下方,nan%,PE:31.8,EPS:73.61,營收:35%,1.4x,外資賣超,中性★,— 目前無買入信號,"$2,198.9 ~ $2,243.1","$2,143.7"
TSM,台積電ADR,432.45001220703125,-0.58,多空分歧,55.5,↓,MA20下方,83%,PE:37.3,EPS:11.61,營收:35%,0.8x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$402.2 ~ $410.3,$392.4
AMD,AMD,519.1849975585938,-2.51,多空分歧,58.8,↓,MA20上方,90%,PE:174.2,EPS:2.98,營收:38%,0.4x,,中性★,— 目前無買入信號,$435.0 ~ $443.8,$424.1
GEV,GE Vernova,1052.949951171875,-3.0,多空分歧,61.9,↑,MA20上方,82%,PE:30.8,EPS:34.19,營收:16%,0.5x,,中性★,— 目前無買入信號,$842.3 ~ $859.2,$829.9
2317.TW,鴻海,,,多空分歧,,↓,MA20下方,nan%,PE:18.6,EPS:13.39,營收:29%,1.2x,外資賣超,偏弱,— 目前無買入信號,$250.2 ~ $255.3,$244.0
2530.TW,華建,,,三線空頭,,↓,MA20下方,nan%,PE:9.3,EPS:1.99,營收:16%,0.8x,外資賣超,迴避,— 目前無買入信號,$18.0 ~ $18.3,$17.5
MU,美光,1151.030029296875,-5.15,偏多,64.1,↑,多頭排列,91%,PE:26.0,EPS:44.29,營收:346%,1.2x,,稍強★★,— 目前無買入信號,$843.2 ~ $860.2,$828.7
LRCX,科林研發,380.54998779296875,-5.29,多空分歧,65.7,↑,MA20上方,91%,PE:71.8,EPS:5.30,營收:24%,0.5x,,中性★,— 目前無買入信號,$291.2 ~ $297.1,$293.5
00631L.TW,元大台灣50正2,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,4.6x,外資賣超,偏弱,— 目前無買入信號,$31.7 ~ $32.3,$30.9
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:27.3,EPS:--,營收:--,1.9x,外資買超,中性★,— 目前無買入信號,$59.6 ~ $60.8,$58.1
2308.TW,台達電,,,多空分歧,,↓,MA20下方,nan%,PE:78.1,EPS:23.17,營收:34%,2.3x,外資賣超,偏弱,— 目前無買入信號,"$1,950.2 ~ $1,989.4","$1,901.2"
