標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:20.0,EPS:37.83,營收:12%,0.7x,,偏弱,— 目前無買入信號,$727.3 ~ $742.0,$709.1
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:18.7,EPS:--,營收:--,0.5x,外資買超,中性★,— 目前無買入信號,$32.9 ~ $33.5,$32.1
0056.TW,元大高股息,,,偏多,,↑,MA20下方,nan%,PE:16.4,EPS:--,營收:--,0.8x,外資買超,稍強★★,— 目前無買入信號,$36.0 ~ $36.7,$35.1
6111.TWO,6111擎亞,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,0.3x,,中性★,— 目前無買入信號,$39.7 ~ $40.5,$38.7
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:17.6,EPS:--,營收:--,1.0x,外資買超,強勢★★★,— 目前無買入信號,$21.7 ~ $22.1,$21.1
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:58.6,EPS:48.37,營收:128%,0.6x,外資買超,強勢★★★,— 目前無買入信號,"$1,935.3 ~ $1,974.2","$1,886.6"
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:16.1,EPS:--,營收:--,1.8x,外資賣超,偏弱,— 目前無買入信號,$50.4 ~ $51.4,$49.1
00919.TW,群益台灣精選高息,,,多空分歧,,↑,MA20下方,nan%,PE:12.5,EPS:--,營收:--,1.2x,外資買超,中性★,— 目前無買入信號,$21.9 ~ $22.3,$21.3
NVDA,NVIDIA,209.11000061035156,-1.9,三線多頭,74.6,↑,MA20上方,93%,PE:42.7,EPS:4.90,營收:73%,0.4x,,強勢★★★,— 目前無買入信號,$168.9 ~ $172.3,$166.2
GEV,GE Vernova,1056.7249755859375,-2.96,多空分歧,63.6,↑,MA20上方,85%,PE:30.9,EPS:34.19,營收:16%,0.8x,,中性★,— 目前無買入信號,$835.0 ~ $851.7,$840.0
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:29.6,EPS:73.54,營收:35%,1.5x,外資賣超,稍強★★,— 目前無買入信號,"$1,751.2 ~ $1,786.4","$1,707.2"
AMD,AMD,333.5150146484375,3.19,三線多頭,81.7,↑,多頭排列,93%,PE:127.3,EPS:2.62,營收:34%,0.6x,,稍強★★,— 目前無買入信號,$183.5 ~ $187.2,$194.6
TSM,台積電ADR,394.5899963378906,0.57,三線多頭,63.5,↑,MA20上方,92%,PE:33.8,EPS:11.69,營收:35%,0.5x,,強勢★★★,— 目前無買入信號,$325.2 ~ $331.7,$317.0
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:16.8,EPS:13.39,營收:22%,0.7x,外資買超,中性★,— 目前無買入信號,$186.6 ~ $190.3,$181.9
2530.TW,華建,,,三線空頭,,↓,MA20下方,nan%,PE:10.7,EPS:1.99,營收:-91%,0.8x,外資賣超,迴避,— 目前無買入信號,$20.4 ~ $20.8,$19.9
MU,美光,512.1500244140625,1.56,三線多頭,75.0,↑,多頭排列,96%,PE:24.2,EPS:21.18,營收:196%,0.8x,,稍強★★,— 目前無買入信號,$338.5 ~ $345.3,$330.0
LRCX,科林研發,244.41000366210938,-2.71,多空分歧,41.8,↓,MA20下方,85%,PE:46.1,EPS:5.30,營收:24%,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$207.8 ~ $211.9,$202.5
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,15.4x,外資買超,強勢★★★,— 目前無買入信號,$19.1 ~ $19.5,$18.7
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:30.8,EPS:--,營收:--,1.0x,外資賣超,偏弱,— 目前無買入信號,$54.2 ~ $55.3,$52.9
2308.TW,台達電,,,三線多頭,,↑,MA20下方,nan%,PE:93.5,EPS:23.16,營收:42%,1.0x,外資賣超,稍強★★,— 目前無買入信號,"$1,358.2 ~ $1,385.5","$1,324.0"
