標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
GEV,GE Vernova,1057.8399658203125,2.09,多空分歧,51.4,↓,MA20下方,79%,PE:31.0,EPS:34.17,營收:16%,1.1x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$977.1 ~ $996.7,$952.5
2530.TW,華建,19.5,0.52,偏空,54.0,↑,MA20上方,13%,PE:9.8,EPS:1.99,營收:16%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$18.3 ~ $18.6,$17.8
MU,美光,848.9500122070312,-0.5,多空分歧,24.0,↓,空頭排列,65%,PE:19.2,EPS:44.23,營收:346%,1.8x,,偏弱,🎯 一條件滿足 — 待確認,$798.8 ~ $814.9,$779.9
AMD,AMD,495.760009765625,-1.03,多空分歧,46.0,↓,空頭排列,80%,PE:164.2,EPS:3.02,營收:38%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
00713.TW,元大高息低波,60.25,-1.07,偏多,53.1,↓,MA20下方,92%,PE:18.4,EPS:--,營收:--,1.0x,,中性★,🎯 一條件滿足 — 待確認,$59.3 ~ $60.5,$57.8
3017.TW,奇鋐,2200.0,-1.12,多空分歧,46.1,↓,MA20下方,63%,PE:36.6,EPS:60.06,營收:110%,0.9x,,中性★,🎯 一條件滿足 — 待確認,"$2,004.9 ~ $2,045.2","$1,954.5"
00919.TW,群益台灣精選高息,28.93000030517578,-2.1,多空分歧,41.5,↓,空頭排列,83%,PE:15.2,EPS:--,營收:--,1.3x,,偏弱,🎯 一條件滿足 — 待確認,$28.7 ~ $29.3,$28.0
NVDA,NVIDIA,202.80999755859375,-2.21,多空分歧,58.9,↑,MA20上方,54%,PE:31.1,EPS:6.53,營收:85%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$188.4 ~ $192.2,$184.1
LRCX,科林研發,313.29998779296875,-2.39,多空分歧,37.4,↓,空頭排列,64%,PE:59.2,EPS:5.29,營收:24%,1.1x,,偏弱,🎯 一條件滿足 — 待確認,$294.0 ~ $299.9,$289.7
3293.TWO,鈊象電子,686.0,-2.56,多空分歧,36.2,↓,空頭排列,28%,PE:18.1,EPS:37.87,營收:17%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$682.6 ~ $696.3,$665.4
TSM,台積電ADR,398.3699951171875,-2.77,多空分歧,39.9,↓,空頭排列,69%,PE:29.8,EPS:13.35,營收:36%,1.6x,,偏弱,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
6111.TWO,6111擎亞,40.0,-3.38,三線空頭,31.5,↓,空頭排列,6%,PE:--,EPS:-4.63,營收:128%,0.9x,,迴避,🎯 一條件滿足 — 待確認,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,31.809999465942383,-3.46,多空分歧,37.2,↓,空頭排列,82%,PE:22.2,EPS:--,營收:--,1.2x,,偏弱,🎯 一條件滿足 — 待確認,$31.6 ~ $32.3,$30.8
2317.TW,鴻海,234.0,-3.51,多空分歧,42.4,↓,空頭排列,52%,PE:17.4,EPS:13.41,營收:29%,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$227.5 ~ $232.1,$223.1
0056.TW,元大高股息,50.75,-3.61,偏多,44.0,↓,空頭排列,82%,PE:20.3,EPS:--,營收:--,3.1x,,中性★,🎯 一條件滿足 — 待確認,$50.1 ~ $51.2,$48.9
00909.TW,國泰智能電動車ETF,43.040000915527344,-6.19,多空分歧,18.1,↓,空頭排列,55%,PE:19.1,EPS:--,營收:--,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$42.6 ~ $43.4,$41.7
00910.TW,第一金太空衛星,53.400001525878906,-6.32,多空分歧,35.8,↓,空頭排列,37%,PE:25.4,EPS:--,營收:--,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$53.0 ~ $54.0,$51.7
2330.TW,台積電,2290.0,-7.29,多空分歧,43.1,↓,空頭排列,83%,PE:26.8,EPS:85.42,營收:36%,2.3x,,偏弱,🎯 一條件滿足 — 待確認,"$2,278.6 ~ $2,324.3","$2,221.3"
2308.TW,台達電,1740.0,-8.66,多空分歧,37.6,↓,空頭排列,60%,PE:64.5,EPS:26.97,營收:34%,1.0x,,中性★,🎯 一條件滿足 — 待確認,"$1,726.3 ~ $1,761.0","$1,683.0"
00631L.TW,元大台灣50正2,32.16999816894531,-13.5,多空分歧,34.5,↓,空頭排列,69%,PE:--,EPS:--,營收:--,5.7x,,偏弱,🎯 一條件滿足 — 待確認,$32.0 ~ $32.7,$31.2
