標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.9,EPS:37.85,營收:12%,0.9x,,偏弱,— 目前無買入信號,$727.3 ~ $742.0,$709.1
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:19.1,EPS:--,營收:--,0.4x,外資買超,中性★,— 目前無買入信號,$32.9 ~ $33.5,$32.1
0056.TW,元大高股息,,,偏多,,↑,MA20下方,nan%,PE:16.4,EPS:--,營收:--,1.5x,外資買超,稍強★★,— 目前無買入信號,$36.0 ~ $36.7,$35.1
6111.TWO,6111擎亞,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,0.6x,,中性★,— 目前無買入信號,$39.7 ~ $40.5,$38.7
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:17.6,EPS:--,營收:--,1.8x,外資買超,強勢★★★,— 目前無買入信號,$21.7 ~ $22.1,$21.1
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:57.7,EPS:48.20,營收:128%,0.9x,外資賣超,稍強★★,— 目前無買入信號,"$1,935.3 ~ $1,974.2","$1,886.6"
00713.TW,元大高息低波,,,多空分歧,,↑,MA20下方,nan%,PE:16.1,EPS:--,營收:--,2.1x,外資買超,中性★,— 目前無買入信號,$50.4 ~ $51.4,$49.1
00919.TW,群益台灣精選高息,,,多空分歧,,↑,MA20下方,nan%,PE:12.4,EPS:--,營收:--,1.4x,外資賣超,偏弱,— 目前無買入信號,$21.9 ~ $22.3,$21.3
NVDA,NVIDIA,211.60009765625,-2.31,三線多頭,79.1,↑,多頭排列,95%,PE:43.2,EPS:4.90,營收:73%,0.7x,,稍強★★,— 目前無買入信號,$166.1 ~ $169.5,$162.0
GEV,GE Vernova,1077.760009765625,-3.79,三線多頭,71.1,↑,MA20上方,87%,PE:31.5,EPS:34.17,營收:16%,0.9x,,稍強★★,— 目前無買入信號,$818.2 ~ $834.7,$799.3
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:30.1,EPS:73.61,營收:35%,1.6x,外資賣超,稍強★★,— 目前無買入信號,"$1,751.2 ~ $1,786.4","$1,707.2"
AMD,AMD,324.8299865722656,-2.93,三線多頭,81.9,↑,多頭排列,89%,PE:124.5,EPS:2.61,營收:34%,0.7x,,稍強★★,— 目前無買入信號,$177.3 ~ $180.8,$190.5
TSM,台積電ADR,391.6000061035156,-3.3,三線多頭,62.1,↑,MA20上方,91%,PE:33.6,EPS:11.66,營收:35%,0.9x,,強勢★★★,— 目前無買入信號,$319.5 ~ $326.0,$311.5
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:16.8,EPS:13.41,營收:22%,1.7x,外資買超,中性★,— 目前無買入信號,$186.6 ~ $190.3,$181.9
2530.TW,華建,,,三線空頭,,↓,MA20下方,nan%,PE:10.7,EPS:1.99,營收:-91%,1.0x,外資買超,迴避,— 目前無買入信號,$20.8 ~ $21.3,$20.3
MU,美光,505.9750061035156,-3.54,三線多頭,76.6,↑,多頭排列,94%,PE:23.9,EPS:21.19,營收:196%,1.1x,,稍強★★,— 目前無買入信號,$309.9 ~ $316.2,$302.1
LRCX,科林研發,250.17999267578125,-3.58,多空分歧,52.0,↓,MA20下方,88%,PE:47.3,EPS:5.29,營收:24%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$202.0 ~ $206.1,$196.9
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,16.9x,外資賣超,稍強★★,— 目前無買入信號,$19.1 ~ $19.5,$18.7
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:31.5,EPS:--,營收:--,1.2x,外資賣超,偏弱,— 目前無買入信號,$54.2 ~ $55.3,$52.9
2308.TW,台達電,,,三線多頭,,↑,MA20下方,nan%,PE:92.3,EPS:23.03,營收:42%,1.3x,外資買超,強勢★★★,— 目前無買入信號,"$1,358.2 ~ $1,385.5","$1,324.0"
