標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
GEV,GE Vernova,1031.18994140625,4.69,多空分歧,40.4,↓,空頭排列,75%,PE:28.3,EPS:36.50,營收:22%,1.2x,,偏弱,🎯 一條件滿足 — 待確認,$973.1 ~ $992.7,$948.7
MU,美光,990.2100219726562,3.2,多空分歧,51.5,↓,MA20下方,77%,PE:22.4,EPS:44.26,營收:346%,1.1x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$784.8 ~ $800.5,$779.9
6111.TWO,6111擎亞,40.95000076293945,2.89,偏空,38.6,↑,MA20下方,12%,PE:--,EPS:-4.63,營收:128%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$38.9 ~ $39.7,$38.0
00713.TW,元大高息低波,61.0,0.74,三線多頭,50.0,↓,多頭排列,96%,PE:18.6,EPS:--,營收:--,0.5x,,稍強★★,🎯 一條件滿足 — 待確認,$59.3 ~ $60.5,$57.8
2530.TW,華建,20.0,0.25,多空分歧,55.2,↑,多頭排列,17%,PE:10.4,EPS:1.93,營收:16%,1.4x,,中性★,— 目前無買入信號,$18.4 ~ $18.7,$17.9
LRCX,科林研發,319.7799987792969,0.15,多空分歧,39.4,↓,MA20下方,66%,PE:60.6,EPS:5.28,營收:24%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$277.1 ~ $282.7,$289.7
00919.TW,群益台灣精選高息,29.489999771118164,-0.03,多空分歧,46.2,↓,MA20上方,87%,PE:15.5,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$28.3 ~ $28.8,$27.6
00878.TW,國泰永續高股息,32.61000061035156,-0.37,多空分歧,41.3,↓,MA20下方,87%,PE:22.7,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$30.9 ~ $31.6,$30.2
3293.TWO,鈊象電子,710.0,-0.42,多空分歧,33.1,↓,MA20下方,42%,PE:18.8,EPS:37.86,營收:17%,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$677.7 ~ $691.4,$661.5
00909.TW,國泰智能電動車ETF,47.209999084472656,-0.48,多空分歧,54.6,↑,MA20上方,75%,PE:21.0,EPS:--,營收:--,0.2x,,中性★,— 目前無買入信號,$42.8 ~ $43.7,$41.7
00910.TW,第一金太空衛星,55.70000076293945,-0.62,多空分歧,25.3,↑,MA20下方,41%,PE:26.5,EPS:--,營收:--,0.2x,,中性★,🎯 一條件滿足 — 待確認,$51.6 ~ $52.6,$51.7
0056.TW,元大高股息,50.20000076293945,-0.89,多空分歧,41.7,↓,MA20下方,86%,PE:19.6,EPS:--,營收:--,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$47.5 ~ $48.5,$46.3
TSM,台積電ADR,415.5799865722656,-1.34,多空分歧,41.9,↓,MA20下方,75%,PE:36.5,EPS:11.39,營收:36%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
NVDA,NVIDIA,208.75999450683594,-1.56,三線多頭,62.1,↑,MA20上方,62%,PE:32.0,EPS:6.53,營收:85%,0.6x,,強勢★★★,— 目前無買入信號,$188.8 ~ $192.6,$184.1
2317.TW,鴻海,252.5,-1.94,多空分歧,60.2,↑,多頭排列,63%,PE:18.9,EPS:13.39,營收:29%,0.5x,,中性★,— 目前無買入信號,$227.5 ~ $232.0,$223.1
2330.TW,台積電,2350.0,-2.29,多空分歧,40.2,↓,空頭排列,87%,PE:31.9,EPS:73.59,營收:36%,0.7x,,中性★,🎯 一條件滿足 — 待確認,"$2,278.6 ~ $2,324.3","$2,221.3"
AMD,AMD,539.6900024414062,-2.29,三線多頭,54.0,↓,MA20上方,90%,PE:185.5,EPS:2.91,營收:38%,0.6x,,稍強★★,— 目前無買入信號,$457.9 ~ $467.1,$446.4
3017.TW,奇鋐,2380.0,-2.46,多空分歧,38.6,↑,MA20上方,71%,PE:39.7,EPS:60.02,營收:110%,0.8x,,中性★,🎯 一條件滿足 — 待確認,"$1,977.0 ~ $2,016.7","$1,954.5"
00631L.TW,元大台灣50正2,33.5,-4.48,多空分歧,31.3,↓,空頭排列,73%,PE:--,EPS:--,營收:--,1.6x,,偏弱,🎯 一條件滿足 — 待確認,$31.5 ~ $32.2,$30.7
2308.TW,台達電,1785.0,-5.05,多空分歧,34.6,↑,空頭排列,62%,PE:65.9,EPS:27.07,營收:34%,0.6x,,中性★,🎯 一條件滿足 — 待確認,"$1,656.7 ~ $1,690.0","$1,615.0"
