標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00910.TW,第一金太空衛星,71.75,5.44,三線多頭,69.0,↑,多頭排列,100%,PE:34.2,EPS:--,營收:--,1.3x,,稍強★★,— 目前無買入信號,$51.3 ~ $52.3,$52.9
LRCX,科林研發,267.6000061035156,2.54,多空分歧,75.7,↑,多頭排列,97%,PE:54.9,EPS:4.87,營收:22%,0.8x,,偏弱,— 目前無買入信號,$191.0 ~ $194.8,$192.6
GEV,GE Vernova,1002.75,2.5,偏多,80.0,↑,多頭排列,99%,PE:56.8,EPS:17.65,營收:4%,0.8x,,中性★,— 目前無買入信號,$803.0 ~ $819.1,$782.8
TSM,台積電ADR,370.5,1.97,多空分歧,70.8,↑,MA20上方,92%,PE:31.9,EPS:11.63,營收:35%,1.5x,,稍強★★,— 目前無買入信號,$310.6 ~ $316.8,$304.4
6111.TWO,6111擎亞,48.099998474121094,1.8,多空分歧,79.7,↑,多頭排列,34%,PE:--,EPS:-4.63,營收:98%,2.0x,,中性★,— 目前無買入信號,$39.7 ~ $40.5,$38.7
NVDA,NVIDIA,201.67999267578125,1.68,偏多,92.8,↑,多頭排列,91%,PE:41.2,EPS:4.90,營收:73%,0.9x,,稍強★★,— 目前無買入信號,$159.2 ~ $162.4,$159.3
00878.TW,國泰永續高股息,24.059999465942383,1.09,三線多頭,73.3,↑,多頭排列,100%,PE:16.8,EPS:--,營收:--,2.7x,,強勢★★★,— 目前無買入信號,$21.3 ~ $21.8,$21.1
3293.TWO,鈊象電子,775.0,0.91,偏多,47.4,↓,MA20上方,50%,PE:20.5,EPS:37.82,營收:12%,1.1x,,中性★,— 目前無買入信號,$719.4 ~ $733.8,$701.3
00713.TW,元大高息低波,54.0,0.75,三線多頭,74.5,↑,多頭排列,100%,PE:16.5,EPS:--,營收:--,2.6x,,強勢★★★,— 目前無買入信號,$50.0 ~ $51.0,$49.1
00909.TW,國泰智能電動車ETF,44.310001373291016,0.73,多空分歧,66.1,↑,多頭排列,74%,PE:19.7,EPS:--,營收:--,2.0x,,中性★,— 目前無買入信號,$34.4 ~ $35.1,$34.2
00919.TW,群益台灣精選高息,23.43000030517578,0.56,三線多頭,63.6,↑,多頭排列,92%,PE:12.3,EPS:--,營收:--,1.3x,,稍強★★,— 目前無買入信號,$21.9 ~ $22.3,$21.3
0056.TW,元大高股息,40.97999954223633,0.44,三線多頭,70.6,↑,多頭排列,98%,PE:16.4,EPS:--,營收:--,1.3x,,強勢★★★,— 目前無買入信號,$36.6 ~ $37.3,$35.9
AMD,AMD,278.3900146484375,0.05,三線多頭,93.3,↑,多頭排列,99%,PE:106.3,EPS:2.62,營收:34%,0.8x,,稍強★★,— 目前無買入信號,$174.0 ~ $177.5,$187.1
2530.TW,華建,22.600000381469727,-0.22,三線空頭,19.0,↓,空頭排列,1%,PE:11.4,EPS:1.99,營收:-91%,1.0x,,迴避,🎯 一條件滿足 — 待確認,$22.0 ~ $22.5,$21.8
2308.TW,台達電,1840.0,-0.27,三線多頭,72.1,↑,多頭排列,98%,PE:80.0,EPS:23.00,營收:42%,0.7x,,強勢★★★,— 目前無買入信號,"$1,267.1 ~ $1,292.5","$1,324.0"
MU,美光,455.07000732421875,-0.47,三線多頭,74.9,↑,多頭排列,96%,PE:21.5,EPS:21.21,營收:196%,1.2x,,強勢★★★,— 目前無買入信號,$309.9 ~ $316.2,$302.1
2317.TW,鴻海,206.0,-0.48,多空分歧,55.7,↑,多頭排列,57%,PE:15.4,EPS:13.39,營收:22%,0.8x,,中性★,— 目前無買入信號,$186.6 ~ $190.3,$181.9
00631L.TW,元大台灣50正2,25.59000015258789,-1.5,多空分歧,76.2,↑,MA20下方,1%,PE:--,EPS:--,營收:--,12.1x,,偏弱,🎯 一條件滿足 — 待確認,$-208.4 ~ $-212.6,$18.5
3017.TW,奇鋐,2400.0,-1.64,三線多頭,55.9,↑,多頭排列,95%,PE:49.8,EPS:48.24,營收:128%,0.5x,,強勢★★★,— 目前無買入信號,"$1,825.8 ~ $1,862.5","$1,780.0"
2330.TW,台積電,2030.0,-2.64,三線多頭,66.7,↑,MA20上方,95%,PE:27.5,EPS:73.69,營收:35%,1.2x,,強勢★★★,— 目前無買入信號,"$1,681.4 ~ $1,715.2","$1,707.2"
