標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:18.5,EPS:--,營收:--,0.2x,外資賣超,偏弱,— 目前無買入信號,$42.8 ~ $43.7,$41.7
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:18.1,EPS:--,營收:--,1.3x,外資買超,中性★,— 目前無買入信號,$45.8 ~ $46.7,$44.6
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:17.3,EPS:--,營收:--,0.8x,外資買超,中性★,— 目前無買入信號,$30.3 ~ $30.9,$29.5
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:18.1,EPS:--,營收:--,0.5x,外資賣超,偏弱,— 目前無買入信號,$59.0 ~ $60.2,$57.5
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:14.1,EPS:--,營收:--,0.9x,外資賣超,偏弱,— 目前無買入信號,$27.9 ~ $28.4,$27.2
MU,美光,874.6599731445312,18.36,多空分歧,43.2,↓,MA20下方,67%,PE:19.8,EPS:44.27,營收:346%,1.6x,,中性★,🎯 一條件滿足 — 待確認,$734.2 ~ $748.9,$715.7
LRCX,科林研發,297.7200012207031,17.98,多空分歧,37.3,↓,MA20下方,60%,PE:56.2,EPS:5.30,營收:24%,1.9x,,中性★,🎯 一條件滿足 — 待確認,$249.2 ~ $254.3,$243.0
AMD,AMD,485.3900146484375,13.0,多空分歧,38.8,↓,MA20下方,77%,PE:161.3,EPS:3.01,營收:38%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$421.9 ~ $430.4,$411.3
GEV,GE Vernova,981.97998046875,9.07,多空分歧,39.0,↓,MA20下方,68%,PE:28.2,EPS:34.84,營收:22%,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$893.2 ~ $911.1,$870.7
TSM,台積電ADR,403.30999755859375,7.64,多空分歧,39.0,↓,MA20下方,71%,PE:35.4,EPS:11.39,營收:36%,1.3x,,中性★,🎯 一條件滿足 — 待確認,$370.9 ~ $378.3,$361.5
NVDA,NVIDIA,195.0399932861328,2.65,多空分歧,37.4,↓,空頭排列,43%,PE:29.8,EPS:6.54,營收:85%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$188.5 ~ $192.3,$184.3
2530.TW,華建,21.100000381469727,2.18,多空分歧,64.5,↑,多頭排列,25%,PE:10.9,EPS:1.93,營收:16%,1.2x,外資買超,中性★,— 目前無買入信號,$18.7 ~ $19.1,$18.3
3293.TWO,鈊象電子,749.0,2.04,多空分歧,51.8,↑,MA20上方,65%,PE:18.9,EPS:39.64,營收:17%,1.0x,,中性★,🎯 一條件滿足 — 待確認,$678.6 ~ $692.2,$661.5
3017.TW,奇鋐,2110.0,0.72,多空分歧,40.3,↓,空頭排列,58%,PE:35.2,EPS:59.92,營收:110%,0.7x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,"$1,948.3 ~ $1,987.4","$1,954.5"
2330.TW,台積電,2205.0,0.23,多空分歧,33.1,↓,空頭排列,77%,PE:29.9,EPS:73.65,營收:36%,1.3x,外資賣超,中性★,🎯 一條件滿足 — 待確認,"$2,169.1 ~ $2,212.7","$2,114.6"
6111.TWO,6111擎亞,37.349998474121094,0.0,三線空頭,32.4,↓,空頭排列,9%,PE:--,EPS:-4.63,營收:128%,0.3x,,迴避,🎯 一條件滿足 — 待確認,$35.6 ~ $36.3,$34.7
2317.TW,鴻海,229.5,-3.16,多空分歧,44.3,↓,MA20下方,45%,PE:16.5,EPS:13.94,營收:29%,1.1x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$225.0 ~ $229.5,$219.7
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,2.9x,外資買超,中性★,— 目前無買入信號,$27.2 ~ $27.8,$26.5
00910.TW,第一金太空衛星,,,多空分歧,,↑,MA20下方,nan%,PE:20.8,EPS:--,營收:--,0.5x,外資買超,中性★,— 目前無買入信號,$52.3 ~ $53.3,$51.0
2308.TW,台達電,1530.0,2.34,多空分歧,30.3,↓,空頭排列,49%,PE:56.5,EPS:27.06,營收:48%,1.8x,外資賣超,中性★,🎯 一條件滿足 — 待確認,"$1,417.9 ~ $1,446.4","$1,382.2"
