標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,三線多頭,,↓,MA20下方,nan%,PE:20.8,EPS:37.82,營收:12%,1.2x,,稍強★★,— 目前無買入信號,$719.4 ~ $733.8,$701.3
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:18.7,EPS:--,營收:--,1.5x,外資買超,中性★,— 目前無買入信號,$35.1 ~ $35.8,$34.2
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:16.6,EPS:--,營收:--,1.4x,外資賣超,稍強★★,— 目前無買入信號,$36.9 ~ $37.6,$35.9
6111.TWO,6111擎亞,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,1.9x,,中性★,— 目前無買入信號,$39.7 ~ $40.5,$38.7
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:17.1,EPS:--,營收:--,2.3x,外資買超,強勢★★★,— 目前無買入信號,$21.7 ~ $22.1,$21.1
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:51.6,EPS:48.24,營收:128%,0.5x,外資買超,強勢★★★,— 目前無買入信號,"$1,905.4 ~ $1,943.7","$1,857.5"
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:16.5,EPS:--,營收:--,1.9x,外資買超,強勢★★★,— 目前無買入信號,$50.4 ~ $51.4,$49.1
00919.TW,群益台灣精選高息,23.670000076293945,1.02,三線多頭,68.7,↑,多頭排列,96%,PE:12.5,EPS:--,營收:--,1.7x,外資買超,強勢★★★,— 目前無買入信號,$21.8 ~ $22.3,$21.3
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:27.5,EPS:73.69,營收:35%,0.8x,外資賣超,稍強★★,— 目前無買入信號,"$1,751.2 ~ $1,786.4","$1,707.2"
TSM,台積電ADR,367.4150085449219,-0.83,多空分歧,76.0,↑,MA20上方,91%,PE:31.6,EPS:11.63,營收:35%,0.6x,,中性★,— 目前無買入信號,$312.2 ~ $318.5,$304.4
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:15.5,EPS:13.39,營收:22%,0.7x,外資買超,中性★,— 目前無買入信號,$186.6 ~ $190.3,$181.9
2530.TW,華建,,,三線空頭,,↓,MA20下方,nan%,PE:11.2,EPS:1.99,營收:-91%,1.4x,外資買超,迴避,— 目前無買入信號,$22.3 ~ $22.8,$21.8
00631L.TW,元大台灣50正2,25.989999771118164,1.56,多空分歧,77.1,↑,MA20下方,1%,PE:--,EPS:--,營收:--,9.8x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$-154.6 ~ $-157.7,$18.5
GEV,GE Vernova,996.0595092773438,-0.67,偏多,90.5,↑,多頭排列,98%,PE:56.4,EPS:17.65,營收:4%,0.3x,,中性★,— 目前無買入信號,$803.0 ~ $819.1,$782.8
NVDA,NVIDIA,199.50059509277344,-1.08,多空分歧,93.2,↑,多頭排列,89%,PE:40.7,EPS:4.90,營收:73%,0.4x,,中性★,— 目前無買入信號,$159.5 ~ $162.7,$159.3
AMD,AMD,273.5950012207031,-1.72,三線多頭,94.5,↑,多頭排列,93%,PE:104.4,EPS:2.62,營收:34%,0.5x,,稍強★★,— 目前無買入信號,$175.1 ~ $178.6,$187.1
LRCX,科林研發,262.8550109863281,-1.77,多空分歧,80.7,↑,MA20上方,95%,PE:54.0,EPS:4.87,營收:22%,0.2x,,偏弱,— 目前無買入信號,$191.6 ~ $195.5,$192.6
MU,美光,446.97930908203125,-1.78,三線多頭,86.8,↑,MA20上方,94%,PE:21.1,EPS:21.21,營收:196%,0.8x,,稍強★★,— 目前無買入信號,$309.9 ~ $316.2,$302.1
00910.TW,第一金太空衛星,,,三線多頭,,↑,MA20下方,nan%,PE:34.0,EPS:--,營收:--,2.0x,外資賣超,稍強★★,— 目前無買入信號,$54.2 ~ $55.3,$52.9
2308.TW,台達電,,,三線多頭,,↑,MA20下方,nan%,PE:82.6,EPS:23.00,營收:42%,0.9x,外資買超,強勢★★★,— 目前無買入信號,"$1,358.2 ~ $1,385.5","$1,324.0"
