標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.3,EPS:37.85,營收:12%,0.7x,,偏弱,— 目前無買入信號,$714.4 ~ $728.8,$696.5
00909.TW,國泰智能電動車ETF,,,三線多頭,,↑,MA20下方,nan%,PE:21.3,EPS:--,營收:--,0.5x,外資買超,強勢★★★,— 目前無買入信號,$36.8 ~ $37.5,$35.8
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:18.3,EPS:--,營收:--,1.3x,外資買超,強勢★★★,— 目前無買入信號,$38.1 ~ $38.9,$37.1
6111.TWO,6111擎亞,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,1.1x,,中性★,— 目前無買入信號,$43.2 ~ $44.1,$42.1
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.7,EPS:--,營收:--,1.6x,外資買超,強勢★★★,— 目前無買入信號,$22.8 ~ $23.2,$22.2
3017.TW,奇鋐,,,多空分歧,,↓,MA20下方,nan%,PE:53.0,EPS:48.17,營收:128%,0.9x,外資賣超,偏弱,— 目前無買入信號,"$2,174.1 ~ $2,217.8","$2,119.4"
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:16.8,EPS:--,營收:--,2.0x,外資買超,強勢★★★,— 目前無買入信號,$52.0 ~ $53.1,$50.7
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:30.4,EPS:73.51,營收:35%,1.3x,外資賣超,稍強★★,— 目前無買入信號,"$1,965.1 ~ $2,004.6","$1,915.8"
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:18.8,EPS:13.40,營收:22%,1.0x,外資買超,中性★,— 目前無買入信號,$197.5 ~ $201.5,$192.5
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.7,EPS:1.99,營收:-91%,2.9x,外資賣超,偏弱,— 目前無買入信號,$19.9 ~ $20.3,$19.4
MU,美光,803.0,7.52,三線多頭,89.4,↑,多頭排列,98%,PE:37.9,EPS:21.21,營收:196%,1.7x,,強勢★★★,— 目前無買入信號,$335.2 ~ $342.0,$412.1
00910.TW,第一金太空衛星,71.5,6.56,多空分歧,50.6,↓,MA20上方,99%,PE:34.1,EPS:--,營收:--,2.1x,外資買超,中性★,🎯 一條件滿足 — 待確認,$63.3 ~ $64.6,$62.3
GEV,GE Vernova,1082.18994140625,4.04,多空分歧,59.8,↓,多頭排列,87%,PE:31.6,EPS:34.22,營收:16%,0.5x,,偏弱,— 目前無買入信號,$943.1 ~ $962.0,$940.4
AMD,AMD,468.5249938964844,2.93,三線多頭,81.0,↑,多頭排列,100%,PE:156.2,EPS:3.00,營收:38%,0.7x,,稍強★★,— 目前無買入信號,$211.8 ~ $216.0,$238.3
NVDA,NVIDIA,220.79010009765625,2.6,三線多頭,65.6,↑,多頭排列,99%,PE:45.0,EPS:4.91,營收:73%,0.6x,,強勢★★★,— 目前無買入信號,$188.9 ~ $192.7,$185.0
00919.TW,群益台灣精選高息,25.75,1.1,三線多頭,80.1,↑,多頭排列,100%,PE:13.6,EPS:--,營收:--,1.3x,外資買超,稍強★★,— 目前無買入信號,$22.0 ~ $22.5,$22.0
LRCX,科林研發,296.6700134277344,0.89,三線多頭,66.8,↑,多頭排列,98%,PE:56.1,EPS:5.29,營收:24%,0.4x,,稍強★★,— 目前無買入信號,$237.6 ~ $242.4,$234.4
00631L.TW,元大台灣50正2,32.65999984741211,0.59,三線多頭,80.9,↑,多頭排列,97%,PE:--,EPS:--,營收:--,1.1x,外資賣超,中性★,— 目前無買入信號,$22.6 ~ $23.0,$22.8
TSM,台積電ADR,405.19000244140625,-1.58,三線多頭,66.1,↑,MA20上方,94%,PE:34.7,EPS:11.69,營收:35%,0.8x,,強勢★★★,— 目前無買入信號,$356.2 ~ $363.4,$349.7
2308.TW,台達電,,,三線多頭,,↑,MA20下方,nan%,PE:97.2,EPS:23.10,營收:34%,0.8x,外資買超,強勢★★★,— 目前無買入信號,"$1,701.5 ~ $1,735.6","$1,658.7"
