標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,三線多頭,,↑,MA20下方,nan%,PE:19.6,EPS:39.63,營收:17%,0.7x,,稍強★★,— 目前無買入信號,$678.6 ~ $692.2,$661.5
00909.TW,國泰智能電動車ETF,,,三線多頭,,↓,MA20下方,nan%,PE:20.5,EPS:--,營收:--,0.2x,外資買超,稍強★★,— 目前無買入信號,$41.4 ~ $42.2,$40.3
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:20.1,EPS:--,營收:--,1.0x,外資買超,中性★,— 目前無買入信號,$45.6 ~ $46.5,$44.5
6111.TWO,6111擎亞,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:-4.26,營收:128%,0.6x,,中性★,— 目前無買入信號,$35.6 ~ $36.3,$34.7
00878.TW,國泰永續高股息,,,偏多,,↓,MA20下方,nan%,PE:18.7,EPS:--,營收:--,0.7x,外資買超,稍強★★,— 目前無買入信號,$30.1 ~ $30.8,$29.4
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:45.5,EPS:60.06,營收:110%,1.0x,外資買超,強勢★★★,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,三線多頭,,↓,MA20下方,nan%,PE:18.4,EPS:--,營收:--,0.3x,外資賣超,中性★,— 目前無買入信號,$59.0 ~ $60.2,$57.5
00919.TW,群益台灣精選高息,,,三線多頭,,↓,MA20下方,nan%,PE:15.0,EPS:--,營收:--,0.6x,外資買超,稍強★★,— 目前無買入信號,$27.8 ~ $28.4,$27.1
NVDA,NVIDIA,220.81500244140625,4.19,三線多頭,59.9,↑,MA20上方,79%,PE:33.8,EPS:6.53,營收:85%,0.6x,,強勢★★★,🎯 一條件滿足 — 待確認,$189.1 ~ $192.9,$184.3
2330.TW,台積電,,,偏多,,↓,MA20下方,nan%,PE:32.7,EPS:73.54,營收:36%,1.1x,外資買超,稍強★★,— 目前無買入信號,"$2,169.1 ~ $2,212.7","$2,114.6"
TSM,台積電ADR,416.0,-0.28,多空分歧,52.4,↑,MA20上方,76%,PE:36.5,EPS:11.39,營收:36%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$370.9 ~ $378.3,$361.5
2317.TW,鴻海,,,三線多頭,,↑,MA20下方,nan%,PE:18.5,EPS:13.95,營收:29%,1.1x,外資買超,強勢★★★,— 目前無買入信號,$225.4 ~ $229.9,$219.7
2530.TW,華建,,,多空分歧,,↓,MA20下方,nan%,PE:10.2,EPS:1.93,營收:16%,0.5x,外資賣超,偏弱,— 目前無買入信號,$18.9 ~ $19.2,$18.4
MU,美光,921.2100219726562,3.2,多空分歧,54.8,↓,MA20上方,71%,PE:20.8,EPS:44.28,營收:346%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$734.2 ~ $748.9,$715.7
GEV,GE Vernova,1029.06005859375,1.03,多空分歧,49.2,↓,MA20上方,75%,PE:29.2,EPS:35.24,營收:22%,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$893.2 ~ $911.1,$870.7
LRCX,科林研發,312.79998779296875,-1.55,多空分歧,47.7,↑,MA20上方,64%,PE:54.4,EPS:5.75,營收:30%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$249.2 ~ $254.3,$243.0
AMD,AMD,487.3999938964844,-6.01,多空分歧,47.9,↓,MA20下方,78%,PE:161.9,EPS:3.01,營收:38%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$421.9 ~ $430.4,$411.3
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,2.4x,外資買超,中性★,— 目前無買入信號,$27.2 ~ $27.8,$26.5
00910.TW,第一金太空衛星,,,多空分歧,,↑,MA20下方,nan%,PE:24.8,EPS:--,營收:--,0.8x,外資買超,中性★,— 目前無買入信號,$51.2 ~ $52.3,$50.0
2308.TW,台達電,,,多空分歧,,↓,MA20下方,nan%,PE:61.0,EPS:27.05,營收:48%,1.1x,外資買超,中性★,— 目前無買入信號,"$1,417.9 ~ $1,446.4","$1,382.2"
