標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.1,EPS:37.86,營收:12%,0.9x,,偏弱,— 目前無買入信號,$714.4 ~ $728.8,$696.5
00909.TW,國泰智能電動車ETF,,,三線多頭,,↑,MA20下方,nan%,PE:21.8,EPS:--,營收:--,1.1x,外資買超,強勢★★★,— 目前無買入信號,$40.4 ~ $41.2,$39.4
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:18.1,EPS:--,營收:--,1.3x,外資買超,強勢★★★,— 目前無買入信號,$39.1 ~ $39.9,$38.1
6111.TWO,6111擎亞,,,多空分歧,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,0.6x,,中性★,— 目前無買入信號,$43.3 ~ $44.2,$42.2
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.5,EPS:--,營收:--,1.7x,外資賣超,稍強★★,— 目前無買入信號,$23.2 ~ $23.7,$22.6
3017.TW,奇鋐,,,三線多頭,,↓,MA20下方,nan%,PE:53.7,EPS:48.13,營收:128%,0.9x,外資買超,強勢★★★,— 目前無買入信號,"$2,298.4 ~ $2,344.6","$2,240.7"
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:16.8,EPS:--,營收:--,2.3x,外資買超,強勢★★★,— 目前無買入信號,$52.4 ~ $53.5,$51.1
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:13.5,EPS:--,營收:--,1.4x,外資賣超,稍強★★,— 目前無買入信號,$22.8 ~ $23.3,$22.3
2330.TW,台積電,,,多空分歧,,↑,MA20下方,nan%,PE:30.2,EPS:73.51,營收:35%,1.2x,外資賣超,中性★,— 目前無買入信號,"$2,014.9 ~ $2,055.4","$1,964.2"
TSM,台積電ADR,402.9100036621094,1.42,多空分歧,59.7,↓,MA20上方,93%,PE:34.3,EPS:11.76,營收:35%,0.7x,,中性★,— 目前無買入信號,$358.7 ~ $366.0,$349.7
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:18.7,EPS:13.40,營收:22%,1.2x,外資買超,中性★,— 目前無買入信號,$202.5 ~ $206.6,$197.4
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.7,EPS:1.99,營收:-91%,6.6x,外資賣超,偏弱,— 目前無買入信號,$19.9 ~ $20.3,$19.4
MU,美光,804.0999755859375,4.89,三線多頭,84.8,↑,多頭排列,98%,PE:38.0,EPS:21.16,營收:196%,1.3x,,強勢★★★,— 目前無買入信號,$330.6 ~ $337.3,$422.8
LRCX,科林研發,298.67498779296875,3.26,三線多頭,67.4,↑,多頭排列,99%,PE:56.5,EPS:5.29,營收:24%,0.3x,,稍強★★,— 目前無買入信號,$236.1 ~ $240.8,$234.4
NVDA,NVIDIA,227.1999969482422,2.91,三線多頭,70.3,↑,多頭排列,99%,PE:46.4,EPS:4.90,營收:73%,0.6x,,強勢★★★,— 目前無買入信號,$188.4 ~ $192.2,$188.9
AMD,AMD,450.5801086425781,0.51,三線多頭,76.0,↑,多頭排列,95%,PE:150.2,EPS:3.00,營收:38%,0.4x,,稍強★★,— 目前無買入信號,$228.3 ~ $232.9,$253.7
GEV,GE Vernova,1064.10498046875,-0.73,偏多,36.0,↓,MA20下方,85%,PE:31.1,EPS:34.20,營收:16%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$963.0 ~ $982.3,$940.4
00631L.TW,元大台灣50正2,,,偏多,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,1.8x,外資賣超,中性★,— 目前無買入信號,$25.1 ~ $25.6,$24.5
00910.TW,第一金太空衛星,,,偏多,,↑,MA20下方,nan%,PE:34.9,EPS:--,營收:--,0.8x,外資買超,稍強★★,— 目前無買入信號,$63.9 ~ $65.2,$62.3
2308.TW,台達電,,,偏多,,↓,MA20下方,nan%,PE:93.9,EPS:23.05,營收:34%,0.6x,外資買超,稍強★★,— 目前無買入信號,"$1,776.1 ~ $1,811.8","$1,731.5"
