標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.0,EPS:37.84,營收:17%,0.6x,,偏弱,— 目前無買入信號,$678.6 ~ $692.2,$661.5
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:20.7,EPS:--,營收:--,0.3x,外資買超,中性★,— 目前無買入信號,$42.8 ~ $43.7,$41.7
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:19.6,EPS:--,營收:--,1.0x,外資買超,中性★,— 目前無買入信號,$47.5 ~ $48.5,$46.3
6111.TWO,6111擎亞,,,三線空頭,,↑,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,0.4x,,偏弱,— 目前無買入信號,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:18.3,EPS:--,營收:--,0.5x,外資賣超,偏弱,— 目前無買入信號,$30.9 ~ $31.6,$30.2
3017.TW,奇鋐,,,多空分歧,,↑,MA20下方,nan%,PE:40.0,EPS:59.98,營收:110%,0.4x,外資賣超,中性★,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,偏多,,↓,MA20下方,nan%,PE:18.4,EPS:--,營收:--,0.6x,外資賣超,中性★,— 目前無買入信號,$59.3 ~ $60.5,$57.8
00919.TW,群益台灣精選高息,29.59000015258789,0.34,多空分歧,49.6,↓,MA20上方,88%,PE:14.8,EPS:--,營收:--,0.3x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$28.3 ~ $28.8,$27.6
2330.TW,台積電,,,多空分歧,,↓,MA20下方,nan%,PE:31.9,EPS:73.56,營收:36%,0.8x,外資賣超,偏弱,— 目前無買入信號,"$2,278.6 ~ $2,324.3","$2,221.3"
2317.TW,鴻海,,,三線多頭,,↑,MA20下方,nan%,PE:18.9,EPS:13.41,營收:29%,0.5x,外資買超,強勢★★★,— 目前無買入信號,$228.8 ~ $233.4,$223.1
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.4,EPS:1.93,營收:16%,0.8x,外資買超,中性★,— 目前無買入信號,$18.5 ~ $18.9,$18.0
00631L.TW,元大台灣50正2,33.540000915527344,0.12,多空分歧,35.4,↓,空頭排列,74%,PE:--,EPS:--,營收:--,1.1x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$31.5 ~ $32.2,$30.7
00910.TW,第一金太空衛星,55.25,-0.81,多空分歧,27.9,↑,空頭排列,40%,PE:22.3,EPS:--,營收:--,0.3x,外資買超,中性★,🎯 一條件滿足 — 待確認,$51.1 ~ $52.1,$51.7
GEV,GE Vernova,973.8400268554688,-5.56,多空分歧,30.0,↓,空頭排列,67%,PE:27.9,EPS:34.91,營收:22%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$937.2 ~ $956.0,$913.6
TSM,台積電ADR,392.2550048828125,-5.61,多空分歧,25.4,↓,空頭排列,66%,PE:34.6,EPS:11.34,營收:36%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
NVDA,NVIDIA,196.85650634765625,-5.7,三線多頭,51.0,↑,MA20下方,46%,PE:30.1,EPS:6.54,營收:85%,0.6x,,強勢★★★,🎯 一條件滿足 — 待確認,$188.9 ~ $192.6,$184.1
AMD,AMD,483.32501220703125,-10.44,多空分歧,38.3,↓,MA20下方,77%,PE:162.2,EPS:2.98,營收:38%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
MU,美光,883.5,-10.78,多空分歧,41.6,↓,MA20下方,68%,PE:20.0,EPS:44.21,營收:346%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$792.5 ~ $808.4,$779.9
LRCX,科林研發,284.9800109863281,-10.88,多空分歧,32.2,↓,空頭排列,56%,PE:54.0,EPS:5.28,營收:24%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$270.1 ~ $275.6,$270.1
2308.TW,台達電,,,多空分歧,,↑,MA20下方,nan%,PE:64.7,EPS:27.13,營收:34%,0.8x,外資買超,稍強★★,— 目前無買入信號,"$1,656.7 ~ $1,690.0","$1,615.0"
