標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↑,MA20下方,nan%,PE:19.9,EPS:37.87,營收:17%,1.3x,,中性★,— 目前無買入信號,$706.5 ~ $720.6,$688.7
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:21.5,EPS:--,營收:--,0.4x,外資買超,中性★,— 目前無買入信號,$45.3 ~ $46.2,$44.2
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:20.2,EPS:--,營收:--,0.8x,外資買超,中性★,— 目前無買入信號,$43.4 ~ $44.3,$42.4
6111.TWO,6111擎亞,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,0.9x,,中性★,— 目前無買入信號,$41.1 ~ $41.9,$40.1
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:22.3,EPS:--,營收:--,0.8x,外資買超,中性★,— 目前無買入信號,$26.5 ~ $27.0,$25.8
3017.TW,奇鋐,,,多空分歧,,↓,MA20下方,nan%,PE:40.1,EPS:60.01,營收:110%,0.4x,外資賣超,偏弱,— 目前無買入信號,"$2,248.7 ~ $2,293.9","$2,192.2"
00713.TW,元大高息低波,,,偏多,,↑,MA20下方,nan%,PE:18.2,EPS:--,營收:--,0.8x,外資買超,稍強★★,— 目前無買入信號,$54.6 ~ $55.7,$53.2
00919.TW,群益台灣精選高息,,,偏多,,↑,MA20下方,nan%,PE:15.9,EPS:--,營收:--,1.6x,外資買超,稍強★★,— 目前無買入信號,$25.1 ~ $25.6,$24.5
2330.TW,台積電,,,多空分歧,,↓,MA20下方,nan%,PE:31.4,EPS:73.58,營收:35%,0.7x,外資買超,中性★,— 目前無買入信號,"$2,168.3 ~ $2,211.9","$2,113.8"
AMD,AMD,512.4600219726562,4.92,三線多頭,57.4,↓,MA20上方,92%,PE:172.0,EPS:2.98,營收:38%,0.5x,,稍強★★,— 目前無買入信號,$391.4 ~ $399.3,$381.6
GEV,GE Vernova,937.2000122070312,3.35,多空分歧,35.6,↓,MA20下方,65%,PE:27.4,EPS:34.19,營收:16%,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$851.7 ~ $868.9,$830.3
TSM,台積電ADR,423.7749938964844,0.64,多空分歧,56.7,↓,MA20上方,90%,PE:36.5,EPS:11.62,營收:35%,0.6x,,中性★,— 目前無買入信號,$382.2 ~ $389.9,$372.6
NVDA,NVIDIA,204.24000549316406,-0.31,多空分歧,41.6,↓,空頭排列,67%,PE:31.2,EPS:6.54,營收:85%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$198.3 ~ $202.3,$193.4
2317.TW,鴻海,,,多空分歧,,↓,MA20下方,nan%,PE:19.5,EPS:13.39,營收:29%,0.9x,外資買超,中性★,— 目前無買入信號,$238.3 ~ $243.1,$232.3
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.1,EPS:1.99,營收:16%,0.4x,外資買超,中性★,— 目前無買入信號,$17.6 ~ $18.0,$17.2
LRCX,科林研發,370.1400146484375,2.1,三線多頭,69.3,↑,多頭排列,99%,PE:70.0,EPS:5.29,營收:24%,0.5x,,稍強★★,— 目前無買入信號,$262.4 ~ $267.7,$255.8
MU,美光,989.2150268554688,-0.67,三線多頭,64.8,↓,MA20上方,90%,PE:46.6,EPS:21.21,營收:196%,1.0x,,稍強★★,— 目前無買入信號,$637.7 ~ $650.6,$632.6
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,1.8x,外資買超,中性★,— 目前無買入信號,$29.2 ~ $29.8,$28.5
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:35.9,EPS:--,營收:--,6.3x,外資賣超,偏弱,— 目前無買入信號,$66.0 ~ $67.3,$64.3
2308.TW,台達電,2215.0,2.55,多空分歧,47.0,↓,MA20下方,83%,PE:95.8,EPS:23.11,營收:34%,0.8x,外資買超,中性★,🎯 一條件滿足 — 待確認,"$1,870.6 ~ $1,908.2","$1,823.6"
