標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:18.4,EPS:39.68,營收:15%,1.1x,,偏弱,— 目前無買入信號,$701.5 ~ $715.6,$683.9
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:19.6,EPS:--,營收:--,0.1x,外資賣超,偏弱,— 目前無買入信號,$41.4 ~ $42.2,$40.3
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:20.7,EPS:--,營收:--,0.5x,外資賣超,稍強★★,— 目前無買入信號,$45.6 ~ $46.5,$44.5
6111.TWO,6111擎亞,,,三線空頭,,↑,MA20下方,nan%,PE:--,EPS:-4.26,營收:128%,0.2x,,偏弱,— 目前無買入信號,$35.6 ~ $36.3,$34.7
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.0,EPS:--,營收:--,2.6x,外資賣超,稍強★★,— 目前無買入信號,$30.1 ~ $30.8,$29.4
3017.TW,奇鋐,,,三線多頭,,↑,MA20下方,nan%,PE:52.6,EPS:59.85,營收:66%,0.5x,外資買超,強勢★★★,— 目前無買入信號,"$2,009.9 ~ $2,050.3","$1,959.4"
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:18.2,EPS:--,營收:--,0.9x,外資買超,中性★,— 目前無買入信號,$59.0 ~ $60.2,$57.5
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:28.1,EPS:85.50,營收:36%,0.4x,外資買超,強勢★★★,— 目前無買入信號,"$2,169.1 ~ $2,212.7","$2,114.6"
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:18.3,EPS:13.94,營收:41%,0.5x,外資賣超,中性★,— 目前無買入信號,$225.4 ~ $229.9,$219.7
2530.TW,華建,,,多空分歧,,↓,MA20下方,nan%,PE:10.2,EPS:1.93,營收:-99%,0.4x,外資買超,偏弱,— 目前無買入信號,$18.9 ~ $19.2,$18.4
MU,美光,1029.6400146484375,5.97,三線多頭,69.4,↑,多頭排列,80%,PE:23.3,EPS:44.21,營收:346%,0.5x,,強勢★★★,— 目前無買入信號,$734.2 ~ $748.9,$715.7
LRCX,科林研發,343.510009765625,3.35,三線多頭,73.0,↑,多頭排列,72%,PE:59.7,EPS:5.75,營收:30%,0.3x,,稍強★★,— 目前無買入信號,$249.2 ~ $254.3,$243.0
GEV,GE Vernova,1093.4200439453125,2.84,三線多頭,75.6,↑,多頭排列,85%,PE:31.4,EPS:34.87,營收:22%,0.3x,,稍強★★,— 目前無買入信號,$893.2 ~ $911.1,$870.7
TSM,台積電ADR,433.3999938964844,1.65,三線多頭,71.8,↑,多頭排列,82%,PE:32.7,EPS:13.26,營收:36%,0.4x,,強勢★★★,— 目前無買入信號,$370.9 ~ $378.3,$361.5
00910.TW,第一金太空衛星,63.95000076293945,0.87,多空分歧,73.5,↑,多頭排列,55%,PE:25.8,EPS:--,營收:--,0.4x,外資買超,中性★,— 目前無買入信號,$49.9 ~ $50.9,$50.0
NVDA,NVIDIA,226.97999572753906,0.81,三線多頭,76.0,↑,多頭排列,87%,PE:34.8,EPS:6.53,營收:85%,0.3x,,稍強★★,— 目前無買入信號,$187.8 ~ $191.6,$184.3
00631L.TW,元大台灣50正2,35.95000076293945,0.73,三線多頭,67.8,↑,多頭排列,81%,PE:--,EPS:--,營收:--,0.9x,外資買超,強勢★★★,— 目前無買入信號,$27.2 ~ $27.8,$26.5
AMD,AMD,510.7349853515625,-0.71,三線多頭,61.5,↑,MA20上方,83%,PE:130.6,EPS:3.91,營收:50%,0.3x,,強勢★★★,— 目前無買入信號,$421.9 ~ $430.4,$411.3
00919.TW,群益台灣精選高息,30.34000015258789,-0.75,三線多頭,67.6,↑,多頭排列,94%,PE:15.2,EPS:--,營收:--,0.5x,外資賣超,稍強★★,— 目前無買入信號,$27.8 ~ $28.4,$27.1
2308.TW,台達電,,,多空分歧,,↑,MA20下方,nan%,PE:69.5,EPS:27.14,營收:48%,1.1x,外資買超,稍強★★,— 目前無買入信號,"$1,417.9 ~ $1,446.4","$1,382.2"
