標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
AMD,AMD,580.9099731445312,7.68,三線多頭,66.6,↓,多頭排列,99%,PE:192.4,EPS:3.02,營收:38%,0.8x,,稍強★★,— 目前無買入信號,$435.0 ~ $443.8,$424.1
GEV,GE Vernova,1174.8599853515625,6.56,三線多頭,70.3,↑,多頭排列,99%,PE:34.4,EPS:34.19,營收:16%,1.1x,,稍強★★,— 目前無買入信號,$834.1 ~ $850.9,$829.9
LRCX,科林研發,433.3299865722656,5.46,三線多頭,69.1,↑,多頭排列,99%,PE:81.9,EPS:5.29,營收:24%,1.5x,,強勢★★★,— 目前無買入信號,$295.3 ~ $301.2,$293.5
TSM,台積電ADR,477.57000732421875,4.94,三線多頭,62.7,↑,多頭排列,99%,PE:41.5,EPS:11.51,營收:35%,1.2x,,強勢★★★,— 目前無買入信號,$400.3 ~ $408.4,$392.4
2530.TW,華建,20.200000762939453,4.66,多空分歧,49.5,↑,MA20上方,18%,PE:10.2,EPS:1.99,營收:16%,2.7x,,中性★,— 目前無買入信號,$18.3 ~ $18.6,$17.8
2330.TW,台積電,2505.0,3.94,三線多頭,70.4,↑,MA20上方,98%,PE:34.1,EPS:73.51,營收:35%,1.0x,,強勢★★★,— 目前無買入信號,"$2,198.9 ~ $2,243.1","$2,143.7"
3293.TWO,鈊象電子,819.0,3.8,三線多頭,54.6,↑,MA20上方,83%,PE:21.6,EPS:37.87,營收:17%,3.2x,,強勢★★★,🎯🎯 兩條件滿足 — 觀察買入點,$733.7 ~ $748.5,$717.8
3017.TW,奇鋐,2620.0,3.76,多空分歧,63.7,↑,MA20上方,83%,PE:43.6,EPS:60.10,營收:110%,0.9x,,中性★,🎯 一條件滿足 — 待確認,"$2,169.9 ~ $2,213.5","$2,153.4"
00631L.TW,元大台灣50正2,39.47999954223633,2.76,三線多頭,66.2,↓,MA20上方,93%,PE:--,EPS:--,營收:--,2.0x,,稍強★★,— 目前無買入信號,$31.7 ~ $32.3,$30.9
NVDA,NVIDIA,200.08999633789062,2.63,多空分歧,43.2,↓,MA20下方,57%,PE:30.7,EPS:6.52,營收:85%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$188.9 ~ $192.6,$184.1
2308.TW,台達電,1990.0,2.05,多空分歧,36.0,↓,MA20下方,73%,PE:86.5,EPS:23.01,營收:34%,0.7x,,中性★,🎯 一條件滿足 — 待確認,"$1,781.0 ~ $1,816.8","$1,736.3"
00910.TW,第一金太空衛星,65.3499984741211,1.87,多空分歧,47.8,↓,MA20下方,60%,PE:31.1,EPS:--,營收:--,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$55.3 ~ $56.4,$55.6
MU,美光,1154.2900390625,0.79,三線多頭,61.4,↓,多頭排列,91%,PE:26.1,EPS:44.21,營收:346%,1.2x,,稍強★★,— 目前無買入信號,$849.4 ~ $866.4,$828.7
00919.TW,群益台灣精選高息,29.3700008392334,-0.44,多空分歧,51.8,↓,MA20下方,86%,PE:15.5,EPS:--,營收:--,0.8x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$27.6 ~ $28.1,$26.9
00713.TW,元大高息低波,59.900001525878906,-0.5,偏多,67.0,↓,MA20上方,91%,PE:18.3,EPS:--,營收:--,0.5x,,中性★,🎯 一條件滿足 — 待確認,$55.4 ~ $56.5,$54.0
00878.TW,國泰永續高股息,33.31999969482422,-0.54,偏多,66.9,↓,MA20上方,92%,PE:23.2,EPS:--,營收:--,0.4x,,中性★,— 目前無買入信號,$29.9 ~ $30.5,$29.1
0056.TW,元大高股息,52.75,-0.94,偏多,66.5,↓,MA20上方,91%,PE:21.1,EPS:--,營收:--,0.9x,,中性★,— 目前無買入信號,$47.4 ~ $48.4,$46.2
2317.TW,鴻海,248.0,-1.2,多空分歧,36.1,↓,空頭排列,58%,PE:18.5,EPS:13.40,營收:29%,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$233.9 ~ $238.6,$238.6
00909.TW,國泰智能電動車ETF,48.09000015258789,-2.06,多空分歧,52.9,↓,MA20下方,81%,PE:21.4,EPS:--,營收:--,0.5x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$45.7 ~ $46.6,$44.5
6111.TWO,6111擎亞,43.20000076293945,-2.26,多空分歧,45.5,↓,空頭排列,23%,PE:--,EPS:-4.63,營收:128%,0.2x,,中性★,🎯 一條件滿足 — 待確認,$41.1 ~ $41.9,$40.1
