標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:19.7,EPS:37.88,營收:12%,1.3x,,偏弱,— 目前無買入信號,$736.3 ~ $751.1,$717.8
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:18.4,EPS:--,營收:--,0.5x,,中性★,— 目前無買入信號,$33.5 ~ $34.1,$32.6
0056.TW,元大高股息,,,偏多,,↑,MA20下方,nan%,PE:16.4,EPS:--,營收:--,0.9x,,稍強★★,— 目前無買入信號,$36.6 ~ $37.4,$35.7
6111.TWO,6111擎亞,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:98%,1.0x,,中性★,— 目前無買入信號,$40.7 ~ $41.6,$39.7
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:17.7,EPS:--,營收:--,1.3x,,稍強★★,— 目前無買入信號,$21.9 ~ $22.3,$21.3
3017.TW,奇鋐,,,偏多,,↑,MA20下方,nan%,PE:58.8,EPS:48.20,營收:128%,0.5x,,稍強★★,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:16.1,EPS:--,營收:--,1.4x,,偏弱,— 目前無買入信號,$50.8 ~ $51.9,$49.6
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:12.5,EPS:--,營收:--,1.1x,,稍強★★,— 目前無買入信號,$22.1 ~ $22.6,$21.6
2330.TW,台積電,,,三線多頭,,↑,MA20下方,nan%,PE:29.0,EPS:73.68,營收:35%,1.7x,,強勢★★★,— 目前無買入信號,"$1,796.0 ~ $1,832.1","$1,750.8"
AMD,AMD,353.79998779296875,4.95,三線多頭,83.0,↑,多頭排列,100%,PE:136.1,EPS:2.60,營收:34%,0.6x,,稍強★★,— 目前無買入信號,$187.5 ~ $191.3,$194.6
GEV,GE Vernova,1088.719970703125,2.41,多空分歧,65.2,↑,MA20上方,89%,PE:31.8,EPS:34.23,營收:16%,0.5x,,中性★,— 目前無買入信號,$849.2 ~ $866.3,$840.0
TSM,台積電ADR,395.1600036621094,0.34,多空分歧,61.9,↑,MA20上方,92%,PE:33.8,EPS:11.70,營收:35%,0.7x,,中性★,— 目前無買入信號,$325.2 ~ $331.7,$317.0
NVDA,NVIDIA,200.69500732421875,-4.09,多空分歧,61.0,↑,MA20上方,86%,PE:41.0,EPS:4.90,營收:73%,0.8x,,中性★,— 目前無買入信號,$170.5 ~ $173.9,$166.2
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:16.4,EPS:13.41,營收:22%,1.2x,,中性★,— 目前無買入信號,$188.6 ~ $192.3,$183.8
2530.TW,華建,,,三線空頭,,↓,MA20下方,nan%,PE:10.5,EPS:1.99,營收:-91%,1.7x,,迴避,— 目前無買入信號,$20.4 ~ $20.8,$19.9
LRCX,科林研發,257.79998779296875,3.64,多空分歧,46.7,↓,MA20上方,91%,PE:48.6,EPS:5.30,營收:24%,0.4x,,偏弱,— 目前無買入信號,$207.8 ~ $211.9,$202.5
MU,美光,510.4599914550781,-1.54,三線多頭,73.1,↑,MA20上方,95%,PE:24.1,EPS:21.21,營收:196%,0.8x,,強勢★★★,— 目前無買入信號,$338.5 ~ $345.3,$330.0
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,13.0x,,稍強★★,— 目前無買入信號,$19.8 ~ $20.2,$19.3
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:30.7,EPS:--,營收:--,1.3x,,偏弱,— 目前無買入信號,$56.6 ~ $57.7,$55.1
2308.TW,台達電,,,三線多頭,,↑,MA20下方,nan%,PE:93.4,EPS:23.17,營收:34%,1.2x,,強勢★★★,— 目前無買入信號,"$1,412.9 ~ $1,441.3","$1,377.4"
