標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3017.TW,奇鋐,2275.0,8.33,三線多頭,67.9,↑,多頭排列,98%,PE:47.1,EPS:48.30,營收:128%,1.2x,,強勢★★★,— 目前無買入信號,"$1,581.8 ~ $1,613.5","$1,615.0"
AMD,AMD,220.27000427246094,7.26,多空分歧,65.7,↑,多頭排列,75%,PE:84.7,EPS:2.60,營收:34%,1.0x,,中性★,— 目前無買入信號,$187.3 ~ $191.0,$182.6
3293.TWO,鈊象電子,784.0,4.67,三線多頭,72.1,↑,多頭排列,60%,PE:20.7,EPS:37.82,營收:12%,3.7x,,強勢★★★,— 目前無買入信號,$662.1 ~ $675.4,$649.9
00910.TW,第一金太空衛星,61.0,4.1,三線多頭,66.2,↑,多頭排列,98%,PE:34.0,EPS:--,營收:--,2.4x,,強勢★★★,— 目前無買入信號,$52.1 ~ $53.1,$50.8
NVDA,NVIDIA,178.67999267578125,1.99,偏空,44.2,↓,MA20下方,73%,PE:36.5,EPS:4.90,營收:73%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$170.9 ~ $174.3,$166.6
GEV,GE Vernova,923.6900024414062,1.57,三線多頭,68.3,↑,多頭排列,96%,PE:52.1,EPS:17.73,營收:4%,0.9x,,稍強★★,— 目前無買入信號,$772.6 ~ $788.2,$753.2
TSM,台積電ADR,347.75,1.31,多空分歧,47.4,↓,MA20下方,84%,PE:33.6,EPS:10.36,營收:20%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$321.1 ~ $327.5,$315.4
2317.TW,鴻海,200.5,0.25,三線空頭,30.1,↓,MA20下方,59%,PE:15.0,EPS:13.40,營收:22%,0.7x,,迴避,🎯 一條件滿足 — 待確認,$187.0 ~ $190.8,$188.2
00909.TW,國泰智能電動車ETF,39.650001525878906,0.03,多空分歧,48.8,↑,MA20上方,61%,PE:17.6,EPS:--,營收:--,0.7x,,中性★,🎯 一條件滿足 — 待確認,$36.2 ~ $36.9,$35.3
00878.TW,國泰永續高股息,22.440000534057617,0.0,多空分歧,50.8,↓,MA20下方,82%,PE:16.5,EPS:--,營收:--,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$21.2 ~ $21.6,$20.6
00631L.TW,元大台灣50正2,443.1499938964844,0.0,多空分歧,41.6,↓,空頭排列,76%,PE:--,EPS:--,營收:--,0.0x,,偏弱,🎯 一條件滿足 — 待確認,$412.9 ~ $421.2,$404.0
0056.TW,元大高股息,38.560001373291016,-0.05,多空分歧,49.3,↓,MA20下方,88%,PE:15.4,EPS:--,營收:--,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$36.3 ~ $37.0,$35.4
2530.TW,華建,25.049999237060547,-0.2,多空分歧,31.4,↓,MA20下方,4%,PE:10.1,EPS:2.49,營收:28%,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$24.0 ~ $24.5,$23.8
6111.TWO,6111擎亞,42.400001525878906,-0.24,偏空,42.1,↑,MA20下方,6%,PE:--,EPS:-0.51,營收:88%,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$40.8 ~ $41.6,$39.8
2330.TW,台積電,1840.0,-0.27,多空分歧,45.7,↓,MA20下方,86%,PE:27.8,EPS:66.24,營收:20%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,"$1,755.4 ~ $1,790.7","$1,711.3"
00713.TW,元大高息低波,51.70000076293945,-0.29,多空分歧,48.8,↓,MA20下方,84%,PE:16.2,EPS:--,營收:--,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$49.8 ~ $50.8,$48.6
00919.TW,群益台灣精選高息,22.6299991607666,-0.96,多空分歧,45.7,↓,空頭排列,84%,PE:11.8,EPS:--,營收:--,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$21.7 ~ $22.2,$21.2
LRCX,科林研發,233.4499969482422,-2.26,偏多,60.0,↑,MA20上方,89%,PE:47.8,EPS:4.88,營收:22%,0.7x,,稍強★★,— 目前無買入信號,$193.1 ~ $197.0,$188.3
2308.TW,台達電,1515.0,-2.26,三線多頭,63.4,↑,多頭排列,96%,PE:65.6,EPS:23.10,營收:42%,1.1x,,強勢★★★,— 目前無買入信號,"$1,189.0 ~ $1,212.9","$1,159.1"
MU,美光,382.0899963378906,-3.4,多空分歧,46.7,↓,MA20下方,78%,PE:18.0,EPS:21.21,營收:196%,2.0x,,偏弱,🎯 一條件滿足 — 待確認,$355.9 ~ $363.0,$346.9
