標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3017.TW,奇鋐,2320.0,8.67,多空分歧,37.6,↓,MA20下方,68%,PE:38.7,EPS:59.99,營收:110%,0.6x,,中性★,🎯 一條件滿足 — 待確認,"$1,977.8 ~ $2,017.5","$1,954.5"
2308.TW,台達電,1835.0,7.62,多空分歧,39.6,↓,MA20下方,64%,PE:67.7,EPS:27.11,營收:34%,0.9x,,中性★,🎯 一條件滿足 — 待確認,"$1,656.7 ~ $1,690.0","$1,615.0"
00631L.TW,元大台灣50正2,34.34000015258789,7.11,多空分歧,29.4,↓,空頭排列,76%,PE:--,EPS:--,營收:--,1.3x,,中性★,🎯 一條件滿足 — 待確認,$31.5 ~ $32.2,$30.7
00909.TW,國泰智能電動車ETF,45.90999984741211,6.1,多空分歧,40.4,↓,MA20下方,69%,PE:20.4,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$42.4 ~ $43.2,$41.7
2317.TW,鴻海,246.0,4.9,多空分歧,56.5,↑,MA20上方,60%,PE:18.4,EPS:13.39,營收:29%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$228.8 ~ $233.4,$223.1
2330.TW,台積電,2410.0,3.88,多空分歧,41.6,↓,MA20下方,91%,PE:32.8,EPS:73.54,營收:36%,0.9x,,中性★,🎯 一條件滿足 — 待確認,"$2,278.6 ~ $2,324.3","$2,221.3"
6111.TWO,6111擎亞,41.70000076293945,2.21,多空分歧,41.8,↓,MA20下方,17%,PE:--,EPS:-4.63,營收:128%,0.3x,,中性★,🎯 一條件滿足 — 待確認,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,32.04999923706055,2.2,多空分歧,36.3,↓,空頭排列,84%,PE:22.3,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$30.9 ~ $31.6,$30.2
GEV,GE Vernova,1079.1800537109375,2.02,多空分歧,47.2,↓,MA20下方,82%,PE:31.5,EPS:34.21,營收:16%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$977.1 ~ $996.7,$952.5
MU,美光,865.4600219726562,1.94,多空分歧,24.5,↓,空頭排列,66%,PE:19.6,EPS:44.23,營收:346%,1.0x,,中性★,🎯 一條件滿足 — 待確認,$781.2 ~ $796.9,$779.9
3293.TWO,鈊象電子,718.0,1.7,多空分歧,29.7,↓,MA20下方,46%,PE:19.0,EPS:37.84,營收:17%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$678.6 ~ $692.2,$661.5
00919.TW,群益台灣精選高息,29.0,1.58,多空分歧,45.1,↓,空頭排列,83%,PE:15.3,EPS:--,營收:--,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$28.3 ~ $28.8,$27.6
AMD,AMD,503.57000732421875,1.58,多空分歧,44.3,↓,空頭排列,81%,PE:166.7,EPS:3.02,營收:38%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
00713.TW,元大高息低波,60.79999923706055,1.0,多空分歧,60.7,↓,多頭排列,96%,PE:18.5,EPS:--,營收:--,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$59.3 ~ $60.5,$57.8
TSM,台積電ADR,402.29998779296875,0.99,多空分歧,32.4,↓,空頭排列,70%,PE:35.0,EPS:11.51,營收:36%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
NVDA,NVIDIA,203.27999877929688,0.23,多空分歧,57.5,↑,MA20上方,54%,PE:31.1,EPS:6.53,營收:85%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$188.7 ~ $192.4,$184.1
00910.TW,第一金太空衛星,54.400001525878906,-0.46,多空分歧,15.9,↓,空頭排列,38%,PE:25.9,EPS:--,營收:--,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$52.5 ~ $53.6,$51.7
0056.TW,元大高股息,49.54999923706055,-0.8,多空分歧,30.0,↓,空頭排列,77%,PE:19.8,EPS:--,營收:--,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$48.5 ~ $49.4,$47.2
LRCX,科林研發,306.760009765625,-2.09,多空分歧,27.9,↓,空頭排列,62%,PE:58.1,EPS:5.28,營收:24%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$286.5 ~ $292.3,$289.7
2530.TW,華建,19.450000762939453,-2.99,多空分歧,41.6,↑,MA20上方,13%,PE:9.8,EPS:1.99,營收:16%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$18.3 ~ $18.6,$17.8
