標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:18.1,EPS:37.88,營收:17%,1.0x,,偏弱,— 目前無買入信號,$693.5 ~ $707.5,$676.1
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:19.1,EPS:--,營收:--,0.6x,外資賣超,偏弱,— 目前無買入信號,$44.5 ~ $45.4,$43.4
0056.TW,元大高股息,,,三線多頭,,↓,MA20下方,nan%,PE:20.3,EPS:--,營收:--,3.3x,外資賣超,中性★,— 目前無買入信號,$50.2 ~ $51.3,$49.0
6111.TWO,6111擎亞,,,偏空,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,1.0x,,偏弱,— 目前無買入信號,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:22.2,EPS:--,營收:--,1.2x,外資賣超,偏弱,— 目前無買入信號,$31.9 ~ $32.6,$31.1
3017.TW,奇鋐,,,多空分歧,,↓,MA20下方,nan%,PE:36.6,EPS:60.08,營收:110%,0.9x,外資賣超,偏弱,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,三線多頭,,↓,MA20下方,nan%,PE:18.4,EPS:--,營收:--,1.0x,外資賣超,中性★,— 目前無買入信號,$59.3 ~ $60.5,$57.8
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:15.2,EPS:--,營收:--,1.3x,外資賣超,偏弱,— 目前無買入信號,$28.9 ~ $29.5,$28.2
GEV,GE Vernova,1066.5899658203125,2.93,多空分歧,52.3,↓,MA20下方,81%,PE:31.2,EPS:34.20,營收:16%,0.6x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$977.1 ~ $996.7,$952.5
2330.TW,台積電,,,三線多頭,,↓,MA20下方,nan%,PE:26.8,EPS:85.46,營收:35%,2.9x,外資賣超,稍強★★,— 目前無買入信號,"$2,313.4 ~ $2,359.9","$2,255.2"
AMD,AMD,503.9100036621094,0.59,多空分歧,47.3,↓,空頭排列,81%,PE:167.4,EPS:3.01,營收:38%,0.5x,,中性★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
NVDA,NVIDIA,205.47500610351562,-0.93,多空分歧,61.8,↑,MA20上方,57%,PE:31.5,EPS:6.53,營收:85%,0.6x,,中性★,— 目前無買入信號,$188.4 ~ $192.2,$184.1
TSM,台積電ADR,401.92498779296875,-1.91,多空分歧,40.8,↓,空頭排列,70%,PE:30.1,EPS:13.36,營收:35%,1.0x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.5
2317.TW,鴻海,,,多空分歧,,↓,MA20下方,nan%,PE:17.4,EPS:13.41,營收:29%,1.0x,外資賣超,偏弱,— 目前無買入信號,$228.8 ~ $233.4,$223.1
2530.TW,華建,,,偏空,,↑,MA20下方,nan%,PE:9.8,EPS:1.99,營收:16%,0.8x,外資買超,偏弱,— 目前無買入信號,$18.3 ~ $18.6,$17.8
MU,美光,892.1199951171875,4.56,多空分歧,29.3,↓,空頭排列,69%,PE:20.1,EPS:44.28,營收:346%,1.2x,,中性★,🎯 一條件滿足 — 待確認,$800.0 ~ $816.1,$779.9
LRCX,科林研發,315.510009765625,-1.7,多空分歧,37.7,↓,空頭排列,65%,PE:59.5,EPS:5.30,營收:24%,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$294.4 ~ $300.3,$289.7
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,5.7x,外資賣超,偏弱,— 目前無買入信號,$34.2 ~ $34.9,$33.3
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:25.4,EPS:--,營收:--,1.1x,外資買超,中性★,— 目前無買入信號,$56.4 ~ $57.6,$55.0
2308.TW,台達電,,,多空分歧,,↓,MA20下方,nan%,PE:64.3,EPS:27.05,營收:34%,1.2x,外資賣超,偏弱,— 目前無買入信號,"$1,771.1 ~ $1,806.7","$1,726.6"
