標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00631L.TW,元大台灣50正2,21.0,9.03,偏空,6.6,↓,MA20下方,0%,PE:--,EPS:--,營收:--,19.5x,,偏弱,🎯 一條件滿足 — 待確認,$-162.0 ~ $-165.3,$18.5
2308.TW,台達電,1475.0,6.88,多空分歧,58.1,↓,多頭排列,93%,PE:64.0,EPS:23.05,營收:42%,1.0x,,中性★,🎯 一條件滿足 — 待確認,"$1,189.0 ~ $1,212.9","$1,159.1"
LRCX,科林研發,213.66000366210938,6.87,多空分歧,47.5,↓,MA20下方,79%,PE:43.9,EPS:4.87,營收:22%,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$193.1 ~ $197.0,$188.3
GEV,GE Vernova,872.9000244140625,6.8,多空分歧,53.4,↓,MA20上方,89%,PE:49.3,EPS:17.72,營收:4%,1.1x,,偏弱,🎯 一條件滿足 — 待確認,$772.6 ~ $788.2,$753.2
TSM,台積電ADR,337.95001220703125,6.78,多空分歧,43.3,↓,MA20下方,80%,PE:32.7,EPS:10.34,營收:20%,1.4x,,中性★,🎯 一條件滿足 — 待確認,$312.2 ~ $318.5,$304.4
3017.TW,奇鋐,2110.0,6.03,多空分歧,59.7,↑,MA20上方,90%,PE:43.8,EPS:48.16,營收:128%,0.6x,,中性★,— 目前無買入信號,"$1,622.5 ~ $1,655.1","$1,615.0"
NVDA,NVIDIA,174.39999389648438,5.59,三線空頭,38.1,↓,MA20下方,70%,PE:35.6,EPS:4.90,營收:73%,1.1x,,迴避,🎯 一條件滿足 — 待確認,$163.4 ~ $166.7,$159.3
00910.TW,第一金太空衛星,57.45000076293945,5.41,多空分歧,53.6,↓,MA20上方,90%,PE:32.0,EPS:--,營收:--,1.8x,,中性★,🎯 一條件滿足 — 待確認,$52.1 ~ $53.1,$50.8
2330.TW,台積電,1855.0,5.4,多空分歧,47.1,↓,MA20上方,87%,PE:28.0,EPS:66.18,營收:20%,1.2x,,偏弱,🎯 一條件滿足 — 待確認,"$1,751.2 ~ $1,786.4","$1,707.2"
2317.TW,鴻海,197.0,5.07,三線空頭,33.0,↓,MA20下方,57%,PE:14.7,EPS:13.41,營收:22%,0.7x,,迴避,🎯 一條件滿足 — 待確認,$185.0 ~ $188.7,$181.9
MU,美光,337.8399963378906,4.98,多空分歧,32.4,↓,空頭排列,67%,PE:16.0,EPS:21.18,營收:196%,2.6x,,中性★,🎯 一條件滿足 — 待確認,$309.9 ~ $316.2,$302.1
AMD,AMD,203.42999267578125,3.77,多空分歧,49.1,↑,MA20上方,67%,PE:78.2,EPS:2.60,營收:34%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$188.1 ~ $191.9,$183.3
00909.TW,國泰智能電動車ETF,36.65999984741211,3.09,三線空頭,39.9,↓,空頭排列,52%,PE:16.3,EPS:--,營收:--,0.6x,,迴避,🎯 一條件滿足 — 待確認,$35.1 ~ $35.8,$34.2
6111.TWO,6111擎亞,42.29999923706055,2.79,三線空頭,44.6,↓,MA20下方,10%,PE:--,EPS:-4.63,營收:88%,0.9x,,迴避,🎯 一條件滿足 — 待確認,$39.7 ~ $40.5,$38.7
0056.TW,元大高股息,38.11000061035156,2.64,多空分歧,46.1,↓,MA20下方,85%,PE:15.2,EPS:--,營收:--,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$36.3 ~ $37.0,$35.4
00878.TW,國泰永續高股息,22.299999237060547,2.25,多空分歧,50.5,↓,MA20下方,80%,PE:16.4,EPS:--,營收:--,0.7x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$21.2 ~ $21.6,$20.6
00919.TW,群益台灣精選高息,22.5,2.18,多空分歧,43.4,↓,MA20下方,82%,PE:11.8,EPS:--,營收:--,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$21.7 ~ $22.2,$21.2
3293.TWO,鈊象電子,767.0,1.86,多空分歧,60.8,↑,MA20上方,53%,PE:20.2,EPS:37.88,營收:12%,1.1x,,中性★,— 目前無買入信號,$669.6 ~ $683.1,$652.8
00713.TW,元大高息低波,51.5,1.68,多空分歧,51.7,↓,MA20上方,82%,PE:16.1,EPS:--,營收:--,0.9x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$49.8 ~ $50.8,$48.6
2530.TW,華建,24.899999618530273,1.22,三線空頭,34.8,↑,空頭排列,3%,PE:12.5,EPS:1.99,營收:-91%,0.6x,,迴避,🎯 一條件滿足 — 待確認,$24.2 ~ $24.7,$23.8
