標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:19.5,EPS:--,營收:--,0.1x,外資賣超,偏弱,— 目前無買入信號,$41.4 ~ $42.2,$40.3
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:20.6,EPS:--,營收:--,0.6x,外資買超,強勢★★★,— 目前無買入信號,$45.6 ~ $46.5,$44.5
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:18.9,EPS:--,營收:--,0.7x,外資買超,強勢★★★,— 目前無買入信號,$30.1 ~ $30.8,$29.4
3017.TW,奇鋐,2910.0,5.43,偏多,65.1,↑,多頭排列,95%,PE:48.5,EPS:59.95,營收:110%,0.7x,外資買超,強勢★★★,— 目前無買入信號,"$1,897.9 ~ $1,936.1","$1,954.5"
00713.TW,元大高息低波,,,偏多,,↓,MA20下方,nan%,PE:18.4,EPS:--,營收:--,0.2x,外資買超,稍強★★,— 目前無買入信號,$59.0 ~ $60.2,$57.5
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:15.1,EPS:--,營收:--,0.4x,外資買超,強勢★★★,— 目前無買入信號,$27.8 ~ $28.4,$27.1
MU,美光,911.2899780273438,4.92,多空分歧,43.3,↑,MA20上方,70%,PE:20.6,EPS:44.21,營收:346%,1.0x,,中性★,— 目前無買入信號,$734.2 ~ $748.9,$715.7
LRCX,科林研發,326.1099853515625,4.72,多空分歧,51.7,↑,多頭排列,67%,PE:56.6,EPS:5.76,營收:30%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$249.2 ~ $254.3,$243.0
NVDA,NVIDIA,224.08999633789062,3.03,偏多,61.4,↑,多頭排列,83%,PE:34.4,EPS:6.52,營收:85%,0.6x,,稍強★★,— 目前無買入信號,$187.9 ~ $191.6,$184.3
GEV,GE Vernova,1039.9000244140625,2.77,多空分歧,51.3,↑,MA20上方,77%,PE:29.8,EPS:34.91,營收:22%,0.5x,,中性★,— 目前無買入信號,$893.2 ~ $911.1,$870.7
2317.TW,鴻海,270.0,2.66,三線多頭,57.1,↑,多頭排列,72%,PE:19.4,EPS:13.93,營收:29%,0.9x,外資買超,強勢★★★,— 目前無買入信號,$225.4 ~ $229.9,$219.7
AMD,AMD,482.92999267578125,1.82,多空分歧,40.4,↓,MA20下方,77%,PE:122.6,EPS:3.94,營收:50%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$421.9 ~ $430.4,$411.3
TSM,台積電ADR,429.1499938964844,1.68,三線多頭,56.5,↑,多頭排列,81%,PE:32.4,EPS:13.25,營收:36%,0.6x,,強勢★★★,— 目前無買入信號,$370.9 ~ $378.3,$361.5
2330.TW,台積電,2415.0,0.84,三線多頭,50.7,↑,多頭排列,92%,PE:28.0,EPS:86.22,營收:36%,0.5x,外資買超,強勢★★★,🎯 一條件滿足 — 待確認,"$2,169.1 ~ $2,212.7","$2,114.6"
2530.TW,華建,19.399999618530273,0.78,偏空,44.2,↓,MA20下方,12%,PE:10.1,EPS:1.93,營收:16%,0.4x,外資買超,偏弱,🎯 一條件滿足 — 待確認,$18.7 ~ $19.0,$18.4
6111.TWO,6111擎亞,37.5,-0.27,多空分歧,35.4,↑,MA20下方,10%,PE:--,EPS:-4.26,營收:128%,0.3x,,中性★,🎯 一條件滿足 — 待確認,$35.3 ~ $36.0,$34.7
3293.TWO,鈊象電子,781.0,-2.86,三線多頭,73.6,↑,MA20上方,83%,PE:19.7,EPS:39.67,營收:17%,0.9x,,稍強★★,— 目前無買入信號,$668.8 ~ $682.2,$661.5
00631L.TW,元大台灣50正2,,,偏多,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,1.1x,外資買超,稍強★★,— 目前無買入信號,$27.2 ~ $27.8,$26.5
00910.TW,第一金太空衛星,,,多空分歧,,↑,MA20下方,nan%,PE:25.8,EPS:--,營收:--,0.3x,外資買超,中性★,— 目前無買入信號,$51.2 ~ $52.3,$50.0
2308.TW,台達電,1790.0,-0.83,多空分歧,45.1,↑,MA20上方,60%,PE:66.2,EPS:27.03,營收:48%,0.7x,外資賣超,中性★,— 目前無買入信號,"$1,417.9 ~ $1,446.4","$1,382.2"
