標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3017.TW,奇鋐,2585.0,2.58,三線多頭,45.6,↓,MA20下方,83%,PE:53.7,EPS:48.13,營收:128%,0.9x,,稍強★★,🎯 一條件滿足 — 待確認,"$2,232.7 ~ $2,277.5","$2,240.7"
00909.TW,國泰智能電動車ETF,49.02000045776367,0.7,三線多頭,75.3,↑,多頭排列,99%,PE:21.8,EPS:--,營收:--,1.1x,,稍強★★,— 目前無買入信號,$38.4 ~ $39.2,$39.4
00713.TW,元大高息低波,55.150001525878906,0.64,三線多頭,61.5,↑,多頭排列,97%,PE:16.8,EPS:--,營收:--,2.3x,,強勢★★★,— 目前無買入信號,$52.1 ~ $53.1,$51.1
NVDA,NVIDIA,220.77999877929688,0.61,三線多頭,64.2,↑,多頭排列,97%,PE:45.1,EPS:4.90,營收:73%,0.9x,,強勢★★★,— 目前無買入信號,$189.2 ~ $193.0,$188.9
2317.TW,鴻海,251.0,0.4,多空分歧,73.1,↑,MA20上方,88%,PE:18.7,EPS:13.40,營收:22%,1.2x,,中性★,— 目前無買入信號,$193.5 ~ $197.4,$197.4
2530.TW,華建,21.350000381469727,0.23,多空分歧,44.3,↑,MA20下方,11%,PE:10.7,EPS:1.99,營收:-91%,6.6x,,中性★,🎯 一條件滿足 — 待確認,$19.9 ~ $20.3,$19.4
GEV,GE Vernova,1071.97998046875,-0.1,多空分歧,41.3,↓,MA20上方,86%,PE:31.3,EPS:34.20,營收:16%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$952.5 ~ $971.6,$940.4
6111.TWO,6111擎亞,48.0,-0.31,多空分歧,42.6,↑,MA20上方,41%,PE:--,EPS:-4.63,營收:98%,0.6x,,中性★,— 目前無買入信號,$43.3 ~ $44.2,$42.2
00910.TW,第一金太空衛星,73.30000305175781,-0.34,偏多,55.3,↑,MA20上方,98%,PE:34.9,EPS:--,營收:--,0.8x,,稍強★★,— 目前無買入信號,$62.9 ~ $64.2,$62.3
00878.TW,國泰永續高股息,27.950000762939453,-0.64,三線多頭,81.5,↑,MA20上方,96%,PE:19.5,EPS:--,營收:--,1.7x,,中性★,— 目前無買入信號,$22.6 ~ $23.0,$22.6
00919.TW,群益台灣精選高息,25.549999237060547,-0.7,三線多頭,74.2,↑,MA20上方,95%,PE:13.5,EPS:--,營收:--,1.4x,,稍強★★,— 目前無買入信號,$22.2 ~ $22.6,$22.3
0056.TW,元大高股息,45.150001525878906,-0.94,三線多頭,74.6,↑,MA20上方,95%,PE:18.1,EPS:--,營收:--,1.3x,,稍強★★,— 目前無買入信號,$37.7 ~ $38.5,$38.1
2308.TW,台達電,2165.0,-1.37,多空分歧,59.9,↓,MA20上方,90%,PE:93.9,EPS:23.05,營收:34%,0.6x,,中性★,— 目前無買入信號,"$1,775.4 ~ $1,811.1","$1,731.5"
2330.TW,台積電,2220.0,-1.55,多空分歧,62.1,↓,MA20上方,91%,PE:30.2,EPS:73.51,營收:35%,1.2x,,中性★,— 目前無買入信號,"$1,970.3 ~ $2,009.9","$1,964.2"
TSM,台積電ADR,397.2799987792969,-1.79,多空分歧,54.8,↓,MA20上方,90%,PE:33.8,EPS:11.76,營收:35%,1.4x,,偏弱,— 目前無買入信號,$357.4 ~ $364.6,$349.7
3293.TWO,鈊象電子,724.0,-1.9,多空分歧,23.8,↓,空頭排列,26%,PE:19.1,EPS:37.86,營收:12%,0.9x,,偏弱,🎯 一條件滿足 — 待確認,$707.4 ~ $721.7,$696.5
00631L.TW,元大台灣50正2,31.850000381469727,-2.06,偏多,72.7,↑,MA20上方,94%,PE:--,EPS:--,營收:--,1.8x,,中性★,— 目前無買入信號,$23.8 ~ $24.2,$24.5
AMD,AMD,448.2900085449219,-2.29,三線多頭,76.0,↑,多頭排列,94%,PE:149.4,EPS:3.00,營收:38%,0.8x,,稍強★★,— 目前無買入信號,$219.7 ~ $224.2,$244.3
LRCX,科林研發,289.239990234375,-2.3,三線多頭,60.5,↑,MA20上方,95%,PE:54.7,EPS:5.29,營收:24%,0.8x,,稍強★★,— 目前無買入信號,$237.1 ~ $241.8,$234.4
MU,美光,766.5800170898438,-3.61,三線多頭,82.4,↑,多頭排列,93%,PE:36.2,EPS:21.16,營收:196%,2.4x,,稍強★★,— 目前無買入信號,$332.8 ~ $339.5,$422.8
