標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:16.6,EPS:42.81,營收:15%,0.5x,,偏弱,— 目前無買入信號,$692.5 ~ $706.4,$675.1
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:21.6,EPS:--,營收:--,1.1x,外資買超,中性★,— 目前無買入信號,$42.3 ~ $43.1,$41.2
0056.TW,元大高股息,,,三線多頭,,↑,MA20下方,nan%,PE:21.7,EPS:--,營收:--,0.4x,外資買超,強勢★★★,— 目前無買入信號,$50.7 ~ $51.8,$49.5
6111.TWO,6111擎亞,,,三線空頭,,↑,MA20下方,nan%,PE:--,EPS:-4.20,營收:174%,0.4x,,偏弱,— 目前無買入信號,$35.2 ~ $35.9,$34.3
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:19.2,EPS:--,營收:--,0.9x,外資買超,強勢★★★,— 目前無買入信號,$31.5 ~ $32.1,$30.7
3017.TW,奇鋐,,,多空分歧,,↑,MA20下方,nan%,PE:48.1,EPS:74.25,營收:66%,0.8x,外資買超,稍強★★,— 目前無買入信號,"$2,596.5 ~ $2,648.7","$2,531.2"
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:19.1,EPS:--,營收:--,0.4x,外資買超,強勢★★★,— 目前無買入信號,$59.9 ~ $61.1,$58.4
00919.TW,群益台灣精選高息,,,三線多頭,,↑,MA20下方,nan%,PE:16.5,EPS:--,營收:--,0.7x,外資買超,強勢★★★,— 目前無買入信號,$29.4 ~ $30.0,$28.7
NVDA,NVIDIA,230.57000732421875,0.93,三線多頭,53.8,↑,MA20上方,92%,PE:29.2,EPS:7.90,營收:106%,0.6x,,強勢★★★,— 目前無買入信號,$206.2 ~ $210.4,$201.0
GEV,GE Vernova,941.510009765625,-0.04,多空分歧,25.3,↓,MA20下方,62%,PE:27.0,EPS:34.85,營收:22%,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$858.8 ~ $876.1,$847.8
2330.TW,台積電,,,多空分歧,,↓,MA20下方,nan%,PE:28.2,EPS:85.56,營收:36%,0.4x,外資買超,中性★,— 目前無買入信號,"$2,323.3 ~ $2,370.0","$2,264.9"
AMD,AMD,472.2099914550781,3.52,三線空頭,37.8,↓,MA20下方,74%,PE:120.5,EPS:3.92,營收:50%,0.4x,,迴避,🎯 一條件滿足 — 待確認,$438.3 ~ $447.1,$427.3
TSM,台積電ADR,428.8399963378906,2.84,多空分歧,48.7,↑,MA20上方,80%,PE:31.8,EPS:13.47,營收:36%,0.6x,,中性★,— 目前無買入信號,$403.1 ~ $411.2,$393.0
2317.TW,鴻海,,,多空分歧,,↓,MA20下方,nan%,PE:16.9,EPS:15.12,營收:41%,0.7x,外資買超,中性★,— 目前無買入信號,$236.8 ~ $241.6,$230.9
2530.TW,華建,,,偏多,,↑,MA20下方,nan%,PE:32.0,EPS:0.63,營收:-99%,1.3x,外資買超,稍強★★,— 目前無買入信號,$18.7 ~ $19.0,$18.2
MU,美光,1004.7504272460938,4.86,三線多頭,48.9,↑,多頭排列,78%,PE:22.7,EPS:44.27,營收:346%,0.7x,,強勢★★★,— 目前無買入信號,$840.4 ~ $857.3,$819.3
LRCX,科林研發,303.9100036621094,3.84,三線空頭,31.0,↓,MA20下方,61%,PE:52.7,EPS:5.77,營收:30%,0.4x,,迴避,🎯 一條件滿足 — 待確認,$276.6 ~ $282.2,$269.7
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,0.9x,外資買超,強勢★★★,— 目前無買入信號,$33.1 ~ $33.8,$32.3
00910.TW,第一金太空衛星,,,三線空頭,,↓,MA20下方,nan%,PE:23.0,EPS:--,營收:--,0.2x,外資買超,迴避,— 目前無買入信號,$55.6 ~ $56.7,$54.2
2308.TW,台達電,,,多空分歧,,↑,MA20下方,nan%,PE:58.3,EPS:31.33,營收:48%,0.8x,外資買超,稍強★★,— 目前無買入信號,"$1,646.7 ~ $1,679.8","$1,605.3"
