標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:20.4,EPS:--,營收:--,0.1x,,偏弱,— 目前無買入信號,$44.7 ~ $45.6,$43.6
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:21.1,EPS:--,營收:--,0.5x,,偏弱,— 目前無買入信號,$48.2 ~ $49.2,$47.0
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:23.1,EPS:--,營收:--,0.4x,,偏弱,— 目前無買入信號,$30.9 ~ $31.5,$30.1
00713.TW,元大高息低波,,,偏多,,↓,MA20下方,nan%,PE:18.4,EPS:--,營收:--,0.9x,,中性★,— 目前無買入信號,$57.3 ~ $58.4,$55.8
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:15.8,EPS:--,營收:--,0.6x,,偏弱,— 目前無買入信號,$28.7 ~ $29.3,$28.0
LRCX,科林研發,353.1700134277344,6.01,多空分歧,46.7,↓,MA20下方,75%,PE:66.6,EPS:5.30,營收:24%,1.1x,,偏弱,🎯 一條件滿足 — 待確認,$311.5 ~ $317.8,$303.7
AMD,AMD,546.719970703125,5.66,多空分歧,55.4,↓,MA20上方,91%,PE:182.2,EPS:3.00,營收:38%,0.6x,,中性★,— 目前無買入信號,$446.1 ~ $455.1,$434.9
MU,美光,991.6400146484375,4.52,多空分歧,47.1,↓,MA20下方,77%,PE:22.4,EPS:44.21,營收:346%,1.1x,,中性★,🎯 一條件滿足 — 待確認,$862.6 ~ $879.9,$856.6
3017.TW,奇鋐,2350.0,1.08,多空分歧,48.2,↓,MA20下方,70%,PE:39.2,EPS:59.93,營收:110%,0.4x,,中性★,🎯 一條件滿足 — 待確認,"$2,159.9 ~ $2,203.3","$2,153.4"
2530.TW,華建,19.75,1.02,多空分歧,47.8,↑,MA20上方,15%,PE:9.9,EPS:1.99,營收:16%,0.5x,,中性★,— 目前無買入信號,$18.3 ~ $18.6,$17.8
GEV,GE Vernova,1075.260009765625,0.4,多空分歧,52.3,↓,MA20上方,82%,PE:31.4,EPS:34.27,營收:16%,0.8x,,偏弱,— 目前無買入信號,$851.3 ~ $868.4,$829.9
2317.TW,鴻海,237.5,0.0,多空分歧,22.3,↓,空頭排列,55%,PE:17.7,EPS:13.40,營收:29%,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$228.2 ~ $232.8,$227.0
TSM,台積電ADR,436.9599914550781,-0.0,多空分歧,51.1,↓,MA20下方,84%,PE:38.0,EPS:11.49,營收:35%,0.9x,,中性★,🎯 一條件滿足 — 待確認,$404.7 ~ $412.8,$394.5
6111.TWO,6111擎亞,41.95000076293945,-0.36,偏空,34.6,↓,空頭排列,14%,PE:--,EPS:-4.63,營收:128%,0.2x,,偏弱,🎯 一條件滿足 — 待確認,$41.5 ~ $42.3,$40.5
3293.TWO,鈊象電子,744.0,-0.53,多空分歧,46.8,↓,MA20上方,62%,PE:19.6,EPS:37.87,營收:17%,0.6x,,偏弱,🎯 一條件滿足 — 待確認,$699.3 ~ $713.4,$688.9
NVDA,NVIDIA,202.77999877929688,-0.66,多空分歧,48.0,↑,MA20上方,55%,PE:31.1,EPS:6.53,營收:85%,0.8x,,中性★,🎯 一條件滿足 — 待確認,$188.9 ~ $192.6,$184.1
2330.TW,台積電,2415.0,-2.03,多空分歧,50.4,↓,MA20上方,92%,PE:32.8,EPS:73.66,營收:35%,0.8x,,中性★,🎯 一條件滿足 — 待確認,"$2,198.9 ~ $2,243.1","$2,143.7"
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,1.3x,,偏弱,— 目前無買入信號,$31.7 ~ $32.3,$30.9
00910.TW,第一金太空衛星,,,多空分歧,,↑,MA20下方,nan%,PE:29.3,EPS:--,營收:--,0.3x,,中性★,— 目前無買入信號,$57.0 ~ $58.2,$55.6
2308.TW,台達電,1880.0,-0.27,多空分歧,33.9,↓,MA20下方,68%,PE:81.7,EPS:23.12,營收:34%,0.6x,,中性★,🎯 一條件滿足 — 待確認,"$1,771.3 ~ $1,807.0","$1,736.3"
