標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,755.0,0.94,多空分歧,43.9,↓,MA20下方,41%,PE:20.0,EPS:37.83,營收:12%,0.8x,,偏弱,🎯 一條件滿足 — 待確認,$727.3 ~ $742.0,$709.1
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:19.1,EPS:--,營收:--,0.4x,外資買超,中性★,— 目前無買入信號,$32.9 ~ $33.5,$32.1
0056.TW,元大高股息,,,偏多,,↑,MA20下方,nan%,PE:16.4,EPS:--,營收:--,1.5x,外資買超,稍強★★,— 目前無買入信號,$36.0 ~ $36.7,$35.1
00878.TW,國泰永續高股息,,,三線多頭,,↑,MA20下方,nan%,PE:17.6,EPS:--,營收:--,1.8x,外資買超,強勢★★★,— 目前無買入信號,$21.7 ~ $22.1,$21.1
00713.TW,元大高息低波,,,多空分歧,,↑,MA20下方,nan%,PE:16.1,EPS:--,營收:--,2.1x,外資買超,中性★,— 目前無買入信號,$50.4 ~ $51.4,$49.1
00919.TW,群益台灣精選高息,,,多空分歧,,↑,MA20下方,nan%,PE:12.4,EPS:--,營收:--,1.4x,外資賣超,偏弱,— 目前無買入信號,$21.9 ~ $22.3,$21.3
2530.TW,華建,21.200000762939453,-0.93,三線空頭,7.7,↓,空頭排列,5%,PE:10.7,EPS:1.99,營收:-91%,1.0x,外資買超,迴避,🎯 一條件滿足 — 待確認,$20.4 ~ $20.8,$19.9
2317.TW,鴻海,225.5,-1.1,多空分歧,77.9,↑,多頭排列,70%,PE:16.8,EPS:13.39,營收:22%,1.7x,外資買超,偏弱,— 目前無買入信號,$181.6 ~ $185.2,$181.9
NVDA,NVIDIA,213.1699981689453,-1.59,三線多頭,81.7,↑,多頭排列,97%,PE:43.5,EPS:4.90,營收:73%,1.0x,,稍強★★,— 目前無買入信號,$166.1 ~ $169.5,$162.0
3017.TW,奇鋐,2780.0,-1.94,三線多頭,74.6,↑,MA20上方,91%,PE:57.5,EPS:48.37,營收:128%,0.8x,外資賣超,稍強★★,— 目前無買入信號,"$1,810.7 ~ $1,847.1","$1,886.6"
2330.TW,台積電,2215.0,-2.21,三線多頭,76.2,↑,多頭排列,92%,PE:30.1,EPS:73.54,營收:35%,1.5x,外資賣超,中性★,— 目前無買入信號,"$1,717.3 ~ $1,751.8","$1,707.2"
6111.TWO,6111擎亞,45.599998474121094,-2.25,多空分歧,57.6,↑,MA20上方,24%,PE:--,EPS:-4.63,營收:98%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$39.7 ~ $40.5,$38.7
GEV,GE Vernova,1088.9300537109375,-2.79,三線多頭,73.5,↑,MA20上方,89%,PE:31.9,EPS:34.17,營收:16%,1.4x,,稍強★★,— 目前無買入信號,$817.6 ~ $834.0,$799.3
TSM,台積電ADR,392.3399963378906,-3.12,三線多頭,62.5,↑,MA20上方,91%,PE:33.6,EPS:11.66,營收:35%,1.1x,,強勢★★★,— 目前無買入信號,$319.5 ~ $326.0,$311.5
LRCX,科林研發,251.22999572753906,-3.18,多空分歧,52.5,↓,MA20下方,88%,PE:47.5,EPS:5.29,營收:24%,1.0x,,偏弱,🎯 一條件滿足 — 待確認,$202.0 ~ $206.1,$196.9
AMD,AMD,323.2099914550781,-3.41,三線多頭,81.0,↑,多頭排列,89%,PE:123.8,EPS:2.61,營收:34%,0.9x,,稍強★★,— 目前無買入信號,$177.4 ~ $181.0,$190.5
MU,美光,504.2900085449219,-3.86,三線多頭,76.0,↑,多頭排列,94%,PE:23.8,EPS:21.19,營收:196%,1.5x,,稍強★★,— 目前無買入信號,$309.9 ~ $316.2,$302.1
00631L.TW,元大台灣50正2,,,三線多頭,,↑,MA20下方,nan%,PE:--,EPS:--,營收:--,16.9x,外資賣超,稍強★★,— 目前無買入信號,$19.1 ~ $19.5,$18.7
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:31.5,EPS:--,營收:--,1.2x,外資賣超,偏弱,— 目前無買入信號,$54.2 ~ $55.3,$52.9
2308.TW,台達電,2125.0,5.2,三線多頭,83.3,↑,多頭排列,98%,PE:91.8,EPS:23.16,營收:42%,1.2x,外資買超,強勢★★★,— 目前無買入信號,"$1,304.8 ~ $1,331.0","$1,324.0"
