標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:22.7,EPS:--,營收:--,0.2x,外資買超,中性★,— 目前無買入信號,$45.7 ~ $46.6,$44.5
0056.TW,元大高股息,,,三線多頭,,↓,MA20下方,nan%,PE:21.1,EPS:--,營收:--,0.6x,外資買超,稍強★★,— 目前無買入信號,$45.4 ~ $46.3,$44.3
00878.TW,國泰永續高股息,,,三線多頭,,↓,MA20下方,nan%,PE:23.5,EPS:--,營收:--,0.6x,外資買超,稍強★★,— 目前無買入信號,$27.7 ~ $28.2,$27.0
00713.TW,元大高息低波,,,三線多頭,,↑,MA20下方,nan%,PE:18.8,EPS:--,營收:--,1.0x,外資賣超,稍強★★,— 目前無買入信號,$55.2 ~ $56.3,$53.8
00919.TW,群益台灣精選高息,,,三線多頭,,↓,MA20下方,nan%,PE:16.2,EPS:--,營收:--,1.6x,外資買超,稍強★★,— 目前無買入信號,$25.5 ~ $26.1,$24.9
MU,美光,1142.8099365234375,9.55,三線多頭,59.8,↑,多頭排列,100%,PE:53.8,EPS:21.23,營收:196%,1.1x,,強勢★★★,— 目前無買入信號,$728.5 ~ $743.2,$710.2
TSM,台積電ADR,460.1600036621094,6.48,三線多頭,61.2,↑,多頭排列,100%,PE:39.6,EPS:11.63,營收:35%,0.9x,,強勢★★★,— 目前無買入信號,$395.1 ~ $403.0,$386.6
LRCX,科林研發,392.822509765625,4.98,三線多頭,68.0,↑,多頭排列,97%,PE:74.4,EPS:5.28,營收:24%,0.6x,,稍強★★,— 目前無買入信號,$279.0 ~ $284.6,$282.8
GEV,GE Vernova,1098.800048828125,4.76,多空分歧,67.2,↑,MA20上方,88%,PE:32.1,EPS:34.19,營收:16%,0.8x,,中性★,— 目前無買入信號,$851.3 ~ $868.4,$829.9
AMD,AMD,530.6300048828125,3.54,偏多,52.2,↓,MA20上方,94%,PE:177.5,EPS:2.99,營收:38%,0.4x,,稍強★★,🎯 一條件滿足 — 待確認,$429.4 ~ $438.1,$418.7
NVDA,NVIDIA,210.13499450683594,2.68,多空分歧,49.5,↓,MA20下方,72%,PE:32.2,EPS:6.53,營收:85%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$198.0 ~ $202.0,$193.4
3293.TWO,鈊象電子,793.0,2.32,三線多頭,59.9,↓,MA20上方,59%,PE:21.0,EPS:37.83,營收:17%,1.6x,,稍強★★,— 目前無買入信號,$723.7 ~ $738.3,$712.0
6111.TWO,6111擎亞,44.75,1.59,多空分歧,46.0,↑,MA20上方,34%,PE:--,EPS:-4.63,營收:128%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$41.1 ~ $41.9,$40.1
3017.TW,奇鋐,2400.0,1.48,多空分歧,37.2,↓,MA20下方,74%,PE:40.0,EPS:59.96,營收:110%,0.5x,外資買超,中性★,🎯 一條件滿足 — 待確認,"$2,231.8 ~ $2,276.7","$2,192.2"
2330.TW,台積電,2410.0,1.05,三線多頭,56.8,↑,多頭排列,98%,PE:32.7,EPS:73.68,營收:35%,1.4x,外資買超,強勢★★★,🎯 一條件滿足 — 待確認,"$2,198.9 ~ $2,243.1","$2,143.7"
2317.TW,鴻海,268.5,-1.29,三線多頭,40.1,↓,MA20下方,73%,PE:20.0,EPS:13.40,營收:29%,1.0x,外資賣超,中性★,🎯 一條件滿足 — 待確認,$240.3 ~ $245.1,$237.7
2530.TW,華建,20.0,-2.2,多空分歧,59.8,↑,MA20上方,17%,PE:10.1,EPS:1.99,營收:16%,1.1x,外資賣超,偏弱,— 目前無買入信號,$17.6 ~ $18.0,$17.2
00631L.TW,元大台灣50正2,,,三線多頭,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,1.6x,外資買超,稍強★★,— 目前無買入信號,$31.5 ~ $32.1,$30.7
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:32.1,EPS:--,營收:--,1.2x,外資賣超,偏弱,— 目前無買入信號,$65.7 ~ $67.0,$64.1
2308.TW,台達電,2150.0,-0.23,偏多,35.0,↓,空頭排列,81%,PE:93.6,EPS:22.97,營收:34%,0.9x,外資買超,稍強★★,🎯 一條件滿足 — 待確認,"$2,029.1 ~ $2,069.9","$1,978.2"
