標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:18.6,EPS:37.87,營收:17%,0.8x,,偏弱,— 目前無買入信號,$682.6 ~ $696.3,$665.4
00909.TW,國泰智能電動車ETF,,,多空分歧,,↓,MA20下方,nan%,PE:19.2,EPS:--,營收:--,0.1x,外資買超,中性★,— 目前無買入信號,$42.8 ~ $43.7,$41.7
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:20.0,EPS:--,營收:--,2.9x,外資賣超,偏弱,— 目前無買入信號,$50.1 ~ $51.2,$48.9
6111.TWO,6111擎亞,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,0.8x,,中性★,— 目前無買入信號,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:21.8,EPS:--,營收:--,1.0x,外資買超,中性★,— 目前無買入信號,$31.6 ~ $32.3,$30.8
3017.TW,奇鋐,,,多空分歧,,↓,MA20下方,nan%,PE:35.5,EPS:60.06,營收:110%,0.7x,外資賣超,偏弱,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:18.3,EPS:--,營收:--,0.6x,外資買超,中性★,— 目前無買入信號,$59.3 ~ $60.5,$57.8
2330.TW,台積電,,,多空分歧,,↓,MA20下方,nan%,PE:27.2,EPS:85.42,營收:36%,1.5x,外資賣超,偏弱,— 目前無買入信號,"$2,278.6 ~ $2,324.3","$2,221.3"
AMD,AMD,515.7999877929688,4.04,多空分歧,46.4,↓,空頭排列,84%,PE:170.8,EPS:3.02,營收:38%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
2317.TW,鴻海,,,多空分歧,,↓,MA20下方,nan%,PE:17.5,EPS:13.41,營收:29%,0.7x,外資買超,中性★,— 目前無買入信號,$228.8 ~ $233.4,$223.1
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.1,EPS:1.99,營收:16%,1.5x,外資賣超,偏弱,— 目前無買入信號,$18.3 ~ $18.6,$17.8
MU,美光,879.530029296875,3.6,多空分歧,26.4,↓,空頭排列,67%,PE:19.9,EPS:44.23,營收:346%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$783.7 ~ $799.4,$779.9
00910.TW,第一金太空衛星,54.650001525878906,2.34,多空分歧,22.1,↓,空頭排列,39%,PE:26.0,EPS:--,營收:--,0.4x,外資買超,中性★,🎯 一條件滿足 — 待確認,$53.0 ~ $54.0,$51.7
GEV,GE Vernova,1080.6600341796875,2.16,多空分歧,47.4,↓,MA20下方,83%,PE:31.6,EPS:34.17,營收:16%,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$977.1 ~ $996.7,$952.5
TSM,台積電ADR,402.6499938964844,1.07,多空分歧,32.5,↓,空頭排列,70%,PE:30.2,EPS:13.35,營收:36%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
NVDA,NVIDIA,204.44500732421875,0.81,多空分歧,58.3,↑,MA20上方,56%,PE:31.3,EPS:6.53,營收:85%,0.3x,,中性★,— 目前無買入信號,$188.7 ~ $192.5,$184.1
00631L.TW,元大台灣50正2,32.060001373291016,-0.34,多空分歧,21.8,↓,空頭排列,69%,PE:--,EPS:--,營收:--,2.1x,外資買超,偏弱,🎯 一條件滿足 — 待確認,$31.5 ~ $32.2,$30.7
00919.TW,群益台灣精選高息,28.549999237060547,-1.31,多空分歧,36.3,↓,空頭排列,80%,PE:15.0,EPS:--,營收:--,1.0x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$28.3 ~ $28.8,$27.6
LRCX,科林研發,308.375,-1.57,多空分歧,28.1,↓,空頭排列,63%,PE:58.3,EPS:5.29,營收:24%,0.4x,,偏弱,🎯 一條件滿足 — 待確認,$286.8 ~ $292.6,$289.7
2308.TW,台達電,,,多空分歧,,↓,MA20下方,nan%,PE:63.2,EPS:26.97,營收:34%,1.0x,外資賣超,偏弱,— 目前無買入信號,"$1,726.3 ~ $1,761.0","$1,683.0"
