標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,796.0,1.53,三線多頭,80.9,↑,多頭排列,65%,PE:21.0,EPS:37.89,營收:12%,1.7x,,稍強★★,— 目前無買入信號,$658.8 ~ $672.0,$649.9
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:17.1,EPS:--,營收:--,0.8x,外資賣超,偏弱,— 目前無買入信號,$36.2 ~ $36.9,$35.3
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:15.3,EPS:--,營收:--,0.9x,外資買超,中性★,— 目前無買入信號,$36.3 ~ $37.0,$35.4
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:16.5,EPS:--,營收:--,0.5x,外資賣超,偏弱,— 目前無買入信號,$21.2 ~ $21.6,$20.6
00713.TW,元大高息低波,,,多空分歧,,↓,MA20下方,nan%,PE:16.1,EPS:--,營收:--,0.4x,外資買超,中性★,— 目前無買入信號,$49.8 ~ $50.8,$48.6
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:11.8,EPS:--,營收:--,1.0x,外資賣超,偏弱,— 目前無買入信號,$21.7 ~ $22.2,$21.2
2530.TW,華建,25.350000381469727,1.2,多空分歧,45.2,↑,MA20下方,6%,PE:10.2,EPS:2.49,營收:28%,0.8x,外資買超,中性★,🎯 一條件滿足 — 待確認,$24.0 ~ $24.5,$23.8
6111.TWO,6111擎亞,42.75,0.83,偏空,59.6,↑,MA20下方,8%,PE:--,EPS:-0.51,營收:88%,0.4x,,中性★,🎯🎯 兩條件滿足 — 觀察買入點,$40.8 ~ $41.6,$39.8
MU,美光,357.2200012207031,0.5,多空分歧,42.3,↓,MA20下方,72%,PE:16.9,EPS:21.19,營收:196%,1.6x,,中性★,🎯 一條件滿足 — 待確認,$343.5 ~ $350.4,$339.5
TSM,台積電ADR,326.739990234375,0.19,多空分歧,38.9,↓,空頭排列,76%,PE:31.5,EPS:10.37,營收:20%,1.1x,,偏弱,🎯 一條件滿足 — 待確認,$320.6 ~ $327.1,$312.6
00631L.TW,元大台灣50正2,443.1499938964844,0.0,多空分歧,41.7,↓,空頭排列,76%,PE:--,EPS:--,營收:--,0.0x,,偏弱,🎯 一條件滿足 — 待確認,$413.2 ~ $421.5,$404.0
LRCX,科林研發,211.41000366210938,-0.1,多空分歧,50.1,↓,MA20下方,78%,PE:43.4,EPS:4.87,營收:22%,0.7x,,偏弱,🎯 一條件滿足 — 待確認,$193.1 ~ $197.0,$188.3
2317.TW,鴻海,199.5,-0.5,多空分歧,37.8,↓,MA20下方,58%,PE:14.9,EPS:13.41,營收:22%,0.5x,外資賣超,偏弱,🎯 一條件滿足 — 待確認,$187.9 ~ $191.7,$188.2
AMD,AMD,201.99000549316406,-0.87,多空分歧,49.5,↑,MA20上方,66%,PE:77.4,EPS:2.61,營收:34%,0.6x,,中性★,🎯 一條件滿足 — 待確認,$187.3 ~ $191.0,$182.6
2330.TW,台積電,1820.0,-1.09,多空分歧,51.8,↓,空頭排列,84%,PE:27.5,EPS:66.25,營收:20%,0.9x,外資賣超,偏弱,🎯🎯 兩條件滿足 — 觀察買入點,"$1,755.4 ~ $1,790.7","$1,711.3"
NVDA,NVIDIA,167.52000427246094,-2.17,三線空頭,31.4,↓,空頭排列,64%,PE:34.2,EPS:4.90,營收:73%,1.0x,,迴避,🎯 一條件滿足 — 待確認,$166.2 ~ $169.5,$162.0
GEV,GE Vernova,853.1599731445312,-2.29,偏多,53.9,↓,MA20上方,86%,PE:48.1,EPS:17.72,營收:4%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$772.6 ~ $788.2,$753.2
3017.TW,奇鋐,2195.0,-3.52,三線多頭,74.1,↑,多頭排列,94%,PE:45.5,EPS:48.29,營收:128%,0.7x,外資賣超,稍強★★,— 目前無買入信號,"$1,577.9 ~ $1,609.6","$1,615.0"
00910.TW,第一金太空衛星,,,三線多頭,,↑,MA20下方,nan%,PE:33.6,EPS:--,營收:--,2.0x,外資賣超,稍強★★,— 目前無買入信號,$52.1 ~ $53.1,$50.8
2308.TW,台達電,1510.0,-0.33,三線多頭,73.0,↑,多頭排列,96%,PE:65.4,EPS:23.10,營收:42%,0.9x,外資賣超,稍強★★,— 目前無買入信號,"$1,189.0 ~ $1,212.9","$1,159.1"
