標的,名稱,價格,漲跌%,三線,RSI,MACD,均線,52W,PE,EPS,營收,量能,外資,評級,買入點,進場區間,止損
3293.TWO,鈊象電子,,,多空分歧,,↓,MA20下方,nan%,PE:18.8,EPS:37.86,營收:17%,0.3x,,偏弱,— 目前無買入信號,$678.6 ~ $692.2,$661.5
00909.TW,國泰智能電動車ETF,,,多空分歧,,↑,MA20下方,nan%,PE:21.0,EPS:--,營收:--,0.2x,外資買超,中性★,— 目前無買入信號,$42.8 ~ $43.7,$41.7
0056.TW,元大高股息,,,多空分歧,,↓,MA20下方,nan%,PE:19.6,EPS:--,營收:--,0.5x,外資賣超,偏弱,— 目前無買入信號,$47.5 ~ $48.5,$46.3
6111.TWO,6111擎亞,,,偏空,,↓,MA20下方,nan%,PE:--,EPS:-4.63,營收:128%,0.7x,,偏弱,— 目前無買入信號,$39.0 ~ $39.7,$38.0
00878.TW,國泰永續高股息,,,多空分歧,,↓,MA20下方,nan%,PE:22.7,EPS:--,營收:--,0.3x,外資賣超,偏弱,— 目前無買入信號,$30.9 ~ $31.6,$30.2
3017.TW,奇鋐,,,多空分歧,,↑,MA20下方,nan%,PE:39.7,EPS:60.02,營收:110%,0.8x,外資賣超,中性★,— 目前無買入信號,"$2,004.9 ~ $2,045.2","$1,954.5"
00713.TW,元大高息低波,,,偏多,,↓,MA20下方,nan%,PE:18.6,EPS:--,營收:--,0.5x,外資買超,稍強★★,— 目前無買入信號,$59.3 ~ $60.5,$57.8
00919.TW,群益台灣精選高息,,,多空分歧,,↓,MA20下方,nan%,PE:15.5,EPS:--,營收:--,0.3x,外資買超,中性★,— 目前無買入信號,$28.3 ~ $28.8,$27.6
NVDA,NVIDIA,209.84500122070312,0.52,三線多頭,62.4,↑,多頭排列,64%,PE:32.1,EPS:6.53,營收:85%,0.4x,,強勢★★★,— 目前無買入信號,$188.9 ~ $192.6,$184.1
2330.TW,台積電,,,多空分歧,,↓,MA20下方,nan%,PE:31.9,EPS:73.59,營收:36%,0.7x,外資賣超,偏弱,— 目前無買入信號,"$2,278.6 ~ $2,324.3","$2,221.3"
AMD,AMD,533.5800170898438,-1.13,三線多頭,46.2,↓,MA20下方,88%,PE:176.6,EPS:3.02,營收:38%,0.4x,,稍強★★,🎯 一條件滿足 — 待確認,$457.9 ~ $467.1,$446.4
GEV,GE Vernova,1019.3800048828125,-1.15,多空分歧,33.4,↓,空頭排列,74%,PE:29.3,EPS:34.85,營收:22%,0.5x,,偏弱,🎯 一條件滿足 — 待確認,$973.1 ~ $992.7,$948.7
TSM,台積電ADR,406.4599914550781,-2.19,多空分歧,28.7,↓,MA20下方,72%,PE:35.7,EPS:11.39,營收:36%,0.4x,,中性★,🎯 一條件滿足 — 待確認,$384.1 ~ $391.8,$374.4
2317.TW,鴻海,,,多空分歧,,↑,MA20下方,nan%,PE:18.9,EPS:13.39,營收:29%,0.5x,外資賣超,偏弱,— 目前無買入信號,$228.8 ~ $233.4,$223.1
2530.TW,華建,,,多空分歧,,↑,MA20下方,nan%,PE:10.4,EPS:1.93,營收:16%,1.4x,外資賣超,偏弱,— 目前無買入信號,$18.4 ~ $18.7,$17.9
LRCX,科林研發,311.05499267578125,-2.73,多空分歧,37.5,↓,空頭排列,63%,PE:58.9,EPS:5.28,營收:24%,0.3x,,偏弱,🎯 一條件滿足 — 待確認,$275.0 ~ $280.6,$289.7
MU,美光,930.239990234375,-6.06,多空分歧,45.1,↓,MA20下方,72%,PE:21.0,EPS:44.26,營收:346%,0.7x,,中性★,🎯 一條件滿足 — 待確認,$798.6 ~ $814.7,$779.9
00631L.TW,元大台灣50正2,,,多空分歧,,↓,MA20下方,nan%,PE:--,EPS:--,營收:--,1.6x,外資賣超,偏弱,— 目前無買入信號,$31.5 ~ $32.2,$30.7
00910.TW,第一金太空衛星,,,多空分歧,,↓,MA20下方,nan%,PE:26.5,EPS:--,營收:--,0.2x,外資買超,中性★,— 目前無買入信號,$53.0 ~ $54.0,$51.7
2308.TW,台達電,,,多空分歧,,↑,MA20下方,nan%,PE:65.9,EPS:27.07,營收:34%,0.6x,外資賣超,中性★,— 目前無買入信號,"$1,656.7 ~ $1,690.0","$1,615.0"
